stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
screen_xgboost,current_15g_3sp_15bp__no_re24,xgboost,2024,2485,0.5529175050301811,0.6824700556015217,0.24505567980473986,0.5777680670829506,0.5757118137259758
screen_xgboost,current_15g_3sp_15bp__no_re24,xgboost,2025,2430,0.5539094650205761,0.6806225639571464,0.24407117539180814,0.5718031621206092,0.5676537098401367
screen_xgboost,current_15g_3sp_15bp__no_re24,xgboost,2026,680,0.5573529411764706,0.6844402705146893,0.2457159781213281,0.5531744783474887,0.5576214473329338
screen_xgboost,current_15g_3sp_15bp__offense_only,xgboost,2024,2485,0.5525150905432595,0.682190655216836,0.2449200728962029,0.579112100780143,0.5748331645864677
screen_xgboost,current_15g_3sp_15bp__offense_only,xgboost,2025,2430,0.551440329218107,0.6809035438332159,0.24418433904580963,0.5718359174810582,0.5675660691450162
screen_xgboost,current_15g_3sp_15bp__offense_only,xgboost,2026,680,0.5573529411764706,0.6851380215153875,0.24604740130527544,0.5509856348956695,0.5574515811660711
screen_xgboost,current_15g_3sp_15bp__sp_only,xgboost,2024,2485,0.5545271629778672,0.6820477238895992,0.24483250281701216,0.5794569493971152,0.5752582458982846
screen_xgboost,current_15g_3sp_15bp__sp_only,xgboost,2025,2430,0.5522633744855967,0.6803723287491223,0.2439522553904413,0.5723286126944764,0.5660407073673153
screen_xgboost,current_15g_3sp_15bp__sp_only,xgboost,2026,680,0.5602941176470588,0.6842270254170663,0.245647291469944,0.5504133025759324,0.55703467460824
screen_xgboost,current_15g_3sp_15bp__bullpen_only,xgboost,2024,2485,0.5529175050301811,0.6826712540363193,0.245115214991299,0.5784756069076129,0.5761084594127317
screen_xgboost,current_15g_3sp_15bp__bullpen_only,xgboost,2025,2430,0.5534979423868313,0.6805137057796644,0.24403040494895722,0.5716049239495594,0.5676549554709217
screen_xgboost,current_15g_3sp_15bp__bullpen_only,xgboost,2026,680,0.5558823529411765,0.684193557156568,0.24558882999741247,0.5542099192618224,0.5569755533308376
screen_xgboost,current_15g_3sp_15bp__offense_sp,xgboost,2024,2485,0.5537223340040242,0.681690305805424,0.24467274527773133,0.5794884172389272,0.5742410662558397
screen_xgboost,current_15g_3sp_15bp__offense_sp,xgboost,2025,2430,0.5555555555555556,0.6802401776931483,0.24387786382398471,0.5739343077598131,0.5655305096549997
screen_xgboost,current_15g_3sp_15bp__offense_sp,xgboost,2026,680,0.5529411764705883,0.6844964158717775,0.24577677600547987,0.5509463143546188,0.5562732233866757
screen_xgboost,current_15g_3sp_15bp__offense_bullpen,xgboost,2024,2485,0.5585513078470825,0.6823487300069372,0.24498117322017682,0.5793080448673031,0.5749295121067567
screen_xgboost,current_15g_3sp_15bp__offense_bullpen,xgboost,2025,2430,0.554320987654321,0.680201324122546,0.24388897883576963,0.5729765546683554,0.5680411434989162
screen_xgboost,current_15g_3sp_15bp__offense_bullpen,xgboost,2026,680,0.5514705882352942,0.6854701853754999,0.24619206583807843,0.5519074831358568,0.5573238372948823
screen_xgboost,current_15g_3sp_15bp__sp_bullpen,xgboost,2024,2485,0.5541247484909457,0.6817644989063766,0.244694129186489,0.580189468848783,0.5751948734504276
screen_xgboost,current_15g_3sp_15bp__sp_bullpen,xgboost,2025,2430,0.554320987654321,0.6804456683048494,0.2440140627548709,0.5714377351306018,0.5661641325949804
screen_xgboost,current_15g_3sp_15bp__sp_bullpen,xgboost,2026,680,0.5588235294117647,0.6848409955417077,0.24589996990525398,0.5524841844045997,0.5566358484766063
screen_xgboost,current_15g_3sp_15bp__all_re24,xgboost,2024,2485,0.5492957746478874,0.6823752407937806,0.24497235580596693,0.578755573376519,0.5742162516839068
screen_xgboost,current_15g_3sp_15bp__all_re24,xgboost,2025,2430,0.5510288065843622,0.6807500717270515,0.2441369588269831,0.5720205075852544,0.5668639416741246
screen_xgboost,current_15g_3sp_15bp__all_re24,xgboost,2026,680,0.5617647058823529,0.6851312246173775,0.24604128751483592,0.5493909685086156,0.5572186256594518
screen_xgboost,short_7g_3sp_7bp__no_re24,xgboost,2024,2485,0.5529175050301811,0.6824700556015217,0.24505567980473986,0.5777680670829506,0.5757118137259758
screen_xgboost,short_7g_3sp_7bp__no_re24,xgboost,2025,2430,0.5539094650205761,0.6806225639571464,0.24407117539180814,0.5718031621206092,0.5676537098401367
screen_xgboost,short_7g_3sp_7bp__no_re24,xgboost,2026,680,0.5573529411764706,0.6844402705146893,0.2457159781213281,0.5531744783474887,0.5576214473329338
screen_xgboost,short_7g_3sp_7bp__offense_only,xgboost,2024,2485,0.5581488933601609,0.6825168353442278,0.24506830572115665,0.5784613328350384,0.5758751475035464
screen_xgboost,short_7g_3sp_7bp__offense_only,xgboost,2025,2430,0.5551440329218107,0.6803545743078657,0.24394819385105249,0.5724145955156545,0.5672034514498155
screen_xgboost,short_7g_3sp_7bp__offense_only,xgboost,2026,680,0.55,0.6847629442354825,0.2458883569301361,0.550981265946664,0.5569786490470755
screen_xgboost,short_7g_3sp_7bp__sp_only,xgboost,2024,2485,0.5545271629778672,0.6820477238895992,0.24483250281701216,0.5794569493971152,0.5752582458982846
