favdog,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
favorite,4624.0,62.0,0.013408304498269897,39.0,0.6290322580645161,0.11303064516129031,0.6953661290322581,0.5823290322580645,-157.44032258064522,78.78,2.68,0.03401878649403402,
underdog,9334.0,1130.0,0.12106278122991215,493.0,0.43628318584070797,0.10561592920353981,0.49641920353982305,0.3908009734513274,149.2509734513274,1027.92,73.08999999999999,0.07110475523387033,
