date,team,il_count
2023-06-01,BAL,39
2023-07-01,BAL,43
2023-08-01,BAL,46
2023-09-01,BAL,45
2023-10-01,BAL,37
2024-04-01,BAL,29
2024-05-01,BAL,44
2024-06-01,BAL,37
2024-07-01,BAL,49
2024-08-01,BAL,52
2024-09-01,BAL,54
2024-10-01,BAL,44
2025-04-01,BAL,24
2025-05-01,BAL,59
2025-06-01,BAL,64
2025-07-01,BAL,64
2025-08-01,BAL,62
2025-09-01,BAL,60
2025-10-01,BAL,40
2026-04-01,BAL,29
2015-04-01,BOS,4
2015-05-01,BOS,15
2015-06-01,BOS,21
2015-07-01,BOS,29
2015-08-01,BOS,27
2015-09-01,BOS,34
2015-10-01,BOS,10
2016-04-01,BOS,3
2016-05-01,BOS,19
2016-06-01,BOS,17
2016-07-01,BOS,16
2016-08-01,BOS,18
2016-09-01,BOS,18
2016-10-01,BOS,12
2017-04-01,BOS,6
2017-05-01,BOS,16
2017-06-01,BOS,20
2017-07-01,BOS,24
2017-08-01,BOS,27
2017-09-01,BOS,24
2017-10-01,BOS,6
2018-04-01,BOS,7
2018-05-01,BOS,18
2018-06-01,BOS,21
2018-07-01,BOS,23
2018-08-01,BOS,33
2018-09-01,BOS,34
2018-10-01,BOS,5
2019-04-01,BOS,3
2019-05-01,BOS,26
2019-06-01,BOS,31
2019-07-01,BOS,31
2019-08-01,BOS,28
2019-09-01,BOS,30
2019-10-01,BOS,5
2020-04-01,BOS,1
2020-05-01,BOS,1
2020-06-01,BOS,1
2020-07-01,BOS,2
2020-08-01,BOS,5
2020-09-01,BOS,6
2020-10-01,BOS,7
2021-04-01,BOS,5
2021-05-01,BOS,3
2021-06-01,BOS,10
2021-07-01,BOS,13
2021-08-01,BOS,19
2021-09-01,BOS,26
2021-10-01,BOS,14
2022-04-01,BOS,1
2022-05-01,BOS,21
2022-06-01,BOS,22
2022-07-01,BOS,22
2022-08-01,BOS,26
2022-09-01,BOS,29
2022-10-01,BOS,24
2023-04-01,BOS,11
2023-05-01,BOS,30
2023-06-01,BOS,30
2023-07-01,BOS,36
2023-08-01,BOS,40
2023-09-01,BOS,43
2023-10-01,BOS,33
2024-04-01,BOS,16
2024-05-01,BOS,32
2024-06-01,BOS,33
2024-07-01,BOS,31
2024-08-01,BOS,37
2024-09-01,BOS,36
2024-10-01,BOS,27
2025-04-01,BOS,22
2025-05-01,BOS,32
2025-06-01,BOS,32
2025-07-01,BOS,38
2025-08-01,BOS,39
2025-09-01,BOS,38
2025-10-01,BOS,27
2026-04-01,BOS,21
2015-04-01,CHC,4
2015-05-01,CHC,21
2015-06-01,CHC,19
2015-07-01,CHC,21
2015-08-01,CHC,24
2015-09-01,CHC,21
2015-10-01,CHC,2
2016-04-01,CHC,5
2016-05-01,CHC,22
2016-06-01,CHC,21
2016-07-01,CHC,26
2016-08-01,CHC,28
2016-09-01,CHC,28
2016-10-01,CHC,10
2017-04-01,CHC,2
2017-05-01,CHC,27
2017-06-01,CHC,24
2017-07-01,CHC,25
2017-08-01,CHC,17
2017-09-01,CHC,18
2017-10-01,CHC,0
2018-04-01,CHC,1
2018-05-01,CHC,27
2018-06-01,CHC,28
2018-07-01,CHC,30
2018-08-01,CHC,34
2018-09-01,CHC,34
2018-10-01,CHC,6
2019-04-01,CHC,8
2019-05-01,CHC,26
2019-06-01,CHC,38
2019-07-01,CHC,41
2019-08-01,CHC,32
2019-09-01,CHC,37
2019-10-01,CHC,5
2020-04-01,CHC,0
2020-05-01,CHC,0
2020-06-01,CHC,0
2020-07-01,CHC,0
2020-08-01,CHC,4
2020-09-01,CHC,5
2020-10-01,CHC,4
2021-04-01,CHC,4
2021-05-01,CHC,7
2021-06-01,CHC,45
2021-07-01,CHC,49
2021-08-01,CHC,54
2021-09-01,CHC,64
2021-10-01,CHC,68
2022-04-01,CHC,4
2022-05-01,CHC,43
2022-06-01,CHC,46
2022-07-01,CHC,49
2022-08-01,CHC,48
2022-09-01,CHC,47
2022-10-01,CHC,46
2023-04-01,CHC,16
2023-05-01,CHC,36
2023-06-01,CHC,39
2023-07-01,CHC,36
2023-08-01,CHC,38
2023-09-01,CHC,38
2023-10-01,CHC,32
2024-04-01,CHC,18
2024-05-01,CHC,31
2024-06-01,CHC,34
2024-07-01,CHC,37
2024-08-01,CHC,41
2024-09-01,CHC,44
2024-10-01,CHC,36
2025-04-01,CHC,23
2025-05-01,CHC,37
2025-06-01,CHC,48
2025-07-01,CHC,45
2025-08-01,CHC,39
2025-09-01,CHC,38
2025-10-01,CHC,26
2026-04-01,CHC,22
2015-04-01,CHW,5
2015-05-01,CHW,17
2015-06-01,CHW,20
2015-07-01,CHW,22
2015-08-01,CHW,24
2015-09-01,CHW,19
2015-10-01,CHW,0
2016-04-01,CHW,0
2016-05-01,CHW,15
2016-06-01,CHW,13
2016-07-01,CHW,27
2016-08-01,CHW,25
2016-09-01,CHW,25
2016-10-01,CHW,11
2017-04-01,CHW,3
2017-05-01,CHW,19
2017-06-01,CHW,18
2017-07-01,CHW,20
2017-08-01,CHW,25
2017-09-01,CHW,24
2017-10-01,CHW,7
2018-04-01,CHW,2
2018-05-01,CHW,19
2018-06-01,CHW,29
2018-07-01,CHW,27
2018-08-01,CHW,31
2018-09-01,CHW,33
2018-10-01,CHW,5
2019-04-01,CHW,3
2019-05-01,CHW,22
2019-06-01,CHW,24
2019-07-01,CHW,29
2019-08-01,CHW,28
2019-09-01,CHW,31
2019-10-01,CHW,4
2020-04-01,CHW,0
2020-05-01,CHW,0
2020-06-01,CHW,0
2020-07-01,CHW,0
2020-08-01,CHW,4
2020-09-01,CHW,5
2020-10-01,CHW,1
2021-04-01,CHW,4
2021-05-01,CHW,5
2021-06-01,CHW,23
2021-07-01,CHW,27
2021-08-01,CHW,27
2021-09-01,CHW,38
2021-10-01,CHW,36
2022-04-01,CHW,1
2022-05-01,CHW,31
2022-06-01,CHW,29
2022-07-01,CHW,36
2022-08-01,CHW,36
2022-09-01,CHW,42
2022-10-01,CHW,35
2023-04-01,CHW,7
2023-05-01,CHW,23
2023-06-01,CHW,23
2023-07-01,CHW,29
2023-08-01,CHW,24
2023-09-01,CHW,31
2023-10-01,CHW,23
2024-04-01,CHW,17
2024-05-01,CHW,27
2024-06-01,CHW,26
2024-07-01,CHW,25
2024-08-01,CHW,39
2024-09-01,CHW,39
2024-10-01,CHW,29
2025-04-01,CHW,21
2025-05-01,CHW,25
2025-06-01,CHW,35
2025-07-01,CHW,46
2025-08-01,CHW,40
2025-09-01,CHW,43
2025-10-01,CHW,39
2026-04-01,CHW,23
2015-04-01,CIN,3
2015-05-01,CIN,8
2015-06-01,CIN,13
2015-07-01,CIN,28
2015-08-01,CIN,32
2015-09-01,CIN,32
2015-10-01,CIN,8
2016-04-01,CIN,7
2016-05-01,CIN,27
2016-06-01,CIN,28
2016-07-01,CIN,39
2016-08-01,CIN,38
2016-09-01,CIN,30
2016-10-01,CIN,17
2017-04-01,CIN,4
2017-05-01,CIN,31
2017-06-01,CIN,37
2017-07-01,CIN,40
2017-08-01,CIN,46
2017-09-01,CIN,42
2017-10-01,CIN,8
2018-04-01,CIN,6
2018-05-01,CIN,20
2018-06-01,CIN,21
2018-07-01,CIN,23
2018-08-01,CIN,31
2018-09-01,CIN,30
2018-10-01,CIN,5
2019-04-01,CIN,2
2019-05-01,CIN,14
2019-06-01,CIN,22
2019-07-01,CIN,33
2019-08-01,CIN,38
2019-09-01,CIN,42
2019-10-01,CIN,5
2020-04-01,CIN,0
2020-05-01,CIN,0
2020-06-01,CIN,0
2020-07-01,CIN,0
2020-08-01,CIN,4
2020-09-01,CIN,4
2020-10-01,CIN,2
2021-04-01,CIN,4
2021-05-01,CIN,5
2021-06-01,CIN,32
2021-07-01,CIN,48
2021-08-01,CIN,52
2021-09-01,CIN,54
2021-10-01,CIN,55
2022-04-01,CIN,2
2022-05-01,CIN,42
2022-06-01,CIN,40
2022-07-01,CIN,58
2022-08-01,CIN,64
2022-09-01,CIN,66
2022-10-01,CIN,48
2023-04-01,CIN,13
2023-05-01,CIN,28
2023-06-01,CIN,39
2023-07-01,CIN,46
2023-08-01,CIN,43
2023-09-01,CIN,49
2023-10-01,CIN,30
2024-04-01,CIN,22
2024-05-01,CIN,31
2024-06-01,CIN,38
2024-07-01,CIN,43
2024-08-01,CIN,46
2024-09-01,CIN,48
2024-10-01,CIN,33
2025-04-01,CIN,25
2025-05-01,CIN,38
2025-06-01,CIN,48
2025-07-01,CIN,54
2025-08-01,CIN,49
2025-09-01,CIN,48
2025-10-01,CIN,42
2026-04-01,CIN,24
2015-04-01,CLE,3
2015-05-01,CLE,14
2015-06-01,CLE,13
2015-07-01,CLE,16
2015-08-01,CLE,17
2015-09-01,CLE,17
2015-10-01,CLE,3
2016-04-01,CLE,4
2016-05-01,CLE,16
2016-06-01,CLE,17
2016-07-01,CLE,13
2016-08-01,CLE,14
2016-09-01,CLE,15
2016-10-01,CLE,7
2017-04-01,CLE,2
2017-05-01,CLE,22
2017-06-01,CLE,27
2017-07-01,CLE,26
2017-08-01,CLE,25
