prob_bucket,games,avg_pred_prob,actual_win_rate,calibration_error,abs_calibration_error,direction,brier
"[0.0, 0.05)",8,0.01465991884469986,0.0,-0.01465991884469986,0.01465991884469986,overconfident,0.00048479995555007684
"[0.05, 0.1)",5,0.06804899692535397,0.0,-0.06804899692535397,0.06804899692535397,overconfident,0.004884743254802285
"[0.1, 0.15)",1,0.12949641942977907,0.0,-0.12949641942977907,0.12949641942977907,overconfident,0.016769322645133262
"[0.15, 0.2)",0,,,,,calibrated,
"[0.2, 0.25)",1,0.24424836635589597,0.0,-0.24424836635589597,0.24424836635589597,overconfident,0.05965726446752398
"[0.25, 0.3)",20,0.2822892810404301,0.2,-0.0822892810404301,0.0822892810404301,overconfident,0.16673159841760507
"[0.3, 0.35)",172,0.32986542530531104,0.37790697674418605,0.04804155143887501,0.04804155143887501,underconfident,0.2368898515576866
"[0.35, 0.4)",422,0.37643998136735074,0.3696682464454976,-0.006771734921853123,0.006771734921853123,overconfident,0.23178416457124906
"[0.4, 0.45)",869,0.4300798907927457,0.4579976985040276,0.027917807711281883,0.027917807711281883,underconfident,0.2497520479995267
"[0.45, 0.5)",1472,0.4763790609436515,0.47758152173913043,0.0012024607954789213,0.0012024607954789213,underconfident,0.24941650793588033
"[0.5, 0.55)",1472,0.5236209390563485,0.5224184782608695,-0.0012024607954790323,0.0012024607954790323,overconfident,0.24941650793588033
"[0.55, 0.6)",869,0.5699201092072542,0.5420023014959724,-0.027917807711281828,0.027917807711281828,overconfident,0.24975204799952674
"[0.6, 0.65)",422,0.6235600186326493,0.6303317535545023,0.006771734921853012,0.006771734921853012,underconfident,0.23178416457124906
"[0.65, 0.7)",172,0.670134574694689,0.622093023255814,-0.04804155143887501,0.04804155143887501,overconfident,0.23688985155768663
"[0.7, 0.75)",20,0.7177107189595701,0.8,0.08228928104042998,0.08228928104042998,underconfident,0.1667315984176051
"[0.75, 0.8)",1,0.755751633644104,1.0,0.24424836635589597,0.24424836635589597,underconfident,0.05965726446752398
"[0.8, 0.85)",0,,,,,calibrated,
"[0.85, 0.9)",1,0.8705035805702209,1.0,0.12949641942977907,0.12949641942977907,underconfident,0.016769322645133262
"[0.9, 0.95)",5,0.9319510030746461,1.0,0.06804899692535393,0.06804899692535393,underconfident,0.004884743254802285
"[0.95, 1.0)",4,0.9706801623106003,1.0,0.02931983768939972,0.02931983768939972,underconfident,0.0009695999111001537
