Date,home_team,away_team,home_win,prob_home_win,predicted_winner,correct,confidence
2025-03-18,CHC,LAD,0,0.34356452226638795,LAD,1,0.6564354777336121
2025-03-19,CHC,LAD,0,0.39391889572143557,LAD,1,0.6060811042785644
2025-03-27,NYY,MIL,1,0.5329504609107971,NYY,1,0.5329504609107971
2025-03-27,ARI,CHC,0,0.541673481464386,ARI,0,0.541673481464386
2025-03-27,SDP,ATL,1,0.4803131878376007,ATL,0,0.5196868121623993
2025-03-27,CHW,LAA,1,0.47519696354866026,LAA,0,0.5248030364513397
2025-03-27,STL,MIN,1,0.47596203088760375,MIN,0,0.5240379691123962
2025-03-27,MIA,PIT,1,0.36272189021110535,PIT,0,0.6372781097888947
2025-03-27,TOR,BAL,0,0.6406760931015014,TOR,0,0.6406760931015014
2025-03-27,LAD,DET,1,0.5430939793586731,LAD,1,0.5430939793586731
2025-03-27,CIN,SFG,0,0.5408297896385192,CIN,0,0.5408297896385192
2025-03-27,KCR,CLE,0,0.44639483094215393,CLE,1,0.5536051690578461
2025-03-27,WSN,PHI,0,0.412839275598526,PHI,1,0.587160724401474
2025-03-27,HOU,NYM,1,0.5354033946990967,HOU,1,0.5354033946990967
2025-03-27,TEX,BOS,0,0.5362470865249633,TEX,0,0.5362470865249633
2025-03-28,LAD,DET,1,0.7063006401062012,LAD,1,0.7063006401062012
2025-03-28,TOR,BAL,1,0.6360459446907043,TOR,1,0.6360459446907043
2025-03-28,MIA,PIT,0,0.3766711950302124,PIT,1,0.6233288049697876
2025-03-28,ARI,CHC,1,0.5612297654151917,ARI,1,0.5612297654151917
2025-03-28,HOU,NYM,0,0.6616293787956238,HOU,0,0.6616293787956238
2025-03-28,SDP,ATL,1,0.5993855237960816,SDP,1,0.5993855237960816
2025-03-28,TBR,COL,1,0.5329504609107971,TBR,1,0.5329504609107971
2025-03-28,TEX,BOS,1,0.6585037589073182,TEX,1,0.6585037589073182
2025-03-29,TOR,BAL,0,0.45988118052482607,BAL,1,0.5401188194751739
2025-03-29,NYY,MIL,1,0.7027223229408264,NYY,1,0.7027223229408264
2025-03-29,ARI,CHC,0,0.5120807766914368,ARI,0,0.5120807766914368
2025-03-29,SDP,ATL,1,0.4998386144638062,ATL,0,0.5001613855361938
2025-03-29,CHW,LAA,0,0.4117326021194458,LAA,1,0.5882673978805542
2025-03-29,TEX,BOS,1,0.6594258069992065,TEX,1,0.6594258069992065
2025-03-29,KCR,CLE,1,0.4680246889591217,CLE,0,0.5319753110408783
2025-03-29,CIN,SFG,1,0.5408297896385192,CIN,1,0.5408297896385192
2025-03-29,WSN,PHI,0,0.3845627546310425,PHI,1,0.6154372453689575
2025-03-29,HOU,NYM,1,0.45289441347122195,NYM,0,0.547105586528778
2025-03-29,LAD,DET,1,0.5415220141410828,LAD,1,0.5415220141410828
2025-03-29,STL,MIN,1,0.3916674792766571,MIN,0,0.6083325207233429
2025-03-29,TBR,COL,0,0.6410194039344788,TBR,0,0.6410194039344788
2025-03-29,MIA,PIT,1,0.5337941527366639,MIA,1,0.5337941527366639
2025-03-30,TOR,BAL,1,0.5443959712982178,TOR,1,0.5443959712982178
2025-03-30,CIN,SFG,0,0.4562514126300812,SFG,1,0.5437485873699188
2025-03-30,TEX,BOS,1,0.6287648439407348,TEX,1,0.6287648439407348
2025-03-30,WSN,PHI,1,0.4784864604473114,PHI,0,0.5215135395526886
2025-03-30,KCR,CLE,0,0.554979944229126,KCR,0,0.554979944229126
2025-03-30,TBR,COL,1,0.45130321979522703,COL,0,0.548696780204773
2025-03-30,NYY,MIL,1,0.47556310296058657,MIL,0,0.5244368970394134
2025-03-30,STL,MIN,1,0.5410376191139221,STL,1,0.5410376191139221
2025-03-30,CHW,LAA,0,0.6635760307312012,CHW,0,0.6635760307312012
2025-03-30,ARI,CHC,1,0.4173967599868774,CHC,0,0.5826032400131226
2025-03-30,SDP,ATL,1,0.5964335918426513,SDP,1,0.5964335918426513
2025-03-30,MIA,PIT,1,0.6145538687705994,MIA,1,0.6145538687705994
2025-03-31,STL,LAA,0,0.5565086960792541,STL,0,0.5565086960792541
2025-03-31,PHI,COL,1,0.7369485020637512,PHI,1,0.7369485020637512
2025-03-31,TBR,PIT,1,0.5430939793586731,TBR,1,0.5430939793586731
2025-03-31,BAL,BOS,1,0.3576951205730438,BOS,0,0.6423048794269561
2025-03-31,SDP,CLE,1,0.40406927466392517,CLE,0,0.5959307253360748
2025-03-31,MIL,KCR,0,0.34716675877571107,KCR,1,0.652833241224289
2025-03-31,LAD,ATL,1,0.6616293787956238,LAD,1,0.6616293787956238
2025-03-31,TOR,WSN,1,0.49694212675094607,WSN,0,0.5030578732490539
2025-03-31,CHW,MIN,1,0.6365379571914673,CHW,1,0.6365379571914673
2025-03-31,MIA,NYM,0,0.3773451209068298,NYM,1,0.6226548790931702
2025-03-31,SEA,DET,0,0.44639483094215393,DET,1,0.5536051690578461
2025-03-31,CIN,TEX,1,0.6616293787956238,CIN,1,0.6616293787956238
2025-03-31,HOU,SFG,0,0.6811060309410095,HOU,0,0.6811060309410095
2025-04-01,HOU,SFG,0,0.4500245988368988,SFG,1,0.5499754011631012
2025-04-01,SDP,CLE,1,0.6220350384712219,SDP,1,0.6220350384712219
2025-04-01,CIN,TEX,0,0.3467908203601837,TEX,1,0.6532091796398163
2025-04-01,LAD,ATL,1,0.3865277826786041,ATL,0,0.6134722173213959
2025-04-01,CHW,MIN,0,0.5354770183563232,CHW,0,0.5354770183563232
2025-04-01,TBR,PIT,1,0.6759464502334595,TBR,1,0.6759464502334595
2025-04-01,STL,LAA,0,0.6149986505508422,STL,0,0.6149986505508422
2025-04-01,NYY,ARI,0,0.3995830535888672,ARI,1,0.6004169464111329
2025-04-01,MIA,NYM,1,0.36351202726364135,NYM,0,0.6364879727363586
2025-04-01,MIL,KCR,1,0.5914742112159729,MIL,1,0.5914742112159729
2025-04-01,SEA,DET,0,0.5329504609107971,SEA,0,0.5329504609107971
2025-04-01,TOR,WSN,1,0.6783111691474915,TOR,1,0.6783111691474915
2025-04-02,TBR,PIT,0,0.3865277826786041,PIT,1,0.6134722173213959
2025-04-02,HOU,SFG,0,0.5432454466819763,HOU,0,0.5432454466819763
2025-04-02,CHW,MIN,0,0.389712393283844,MIN,1,0.610287606716156
2025-04-02,LAD,ATL,1,0.7274420857429504,LAD,1,0.7274420857429504
2025-04-02,STL,LAA,1,0.5565086960792541,STL,1,0.5565086960792541
2025-04-02,MIA,NYM,0,0.3433677017688751,NYM,1,0.6566322982311249
2025-04-02,SEA,DET,1,0.34965400099754335,DET,0,0.6503459990024567
2025-04-02,TOR,WSN,1,0.4025499403476715,WSN,0,0.5974500596523284
2025-04-02,MIL,KCR,1,0.6715564966201782,MIL,1,0.6715564966201782
2025-04-02,BAL,BOS,0,0.34716675877571107,BOS,1,0.652833241224289
2025-04-02,PHI,COL,1,0.6896974205970764,PHI,1,0.6896974205970764
2025-04-02,CIN,TEX,0,0.5929904818534851,CIN,0,0.5929904818534851
2025-04-02,NYY,ARI,0,0.6545828104019165,NYY,0,0.6545828104019165
2025-04-02,SDP,CLE,1,0.45988118052482607,CLE,0,0.5401188194751739
2025-04-03,MIN,HOU,0,0.45988118052482607,HOU,1,0.5401188194751739
2025-04-03,MIL,CIN,1,0.3847362339496613,CIN,0,0.6152637660503387
2025-04-03,NYY,ARI,1,0.37459325790405273,ARI,0,0.6254067420959473
2025-04-03,PHI,COL,1,0.7240031480789184,PHI,1,0.7240031480789184
2025-04-03,BAL,BOS,0,0.6567545175552368,BAL,0,0.6567545175552368
2025-04-04,ATL,MIA,1,0.6445857882499695,ATL,1,0.6445857882499695
2025-04-04,TEX,TBR,1,0.652550745010376,TEX,1,0.652550745010376
2025-04-04,DET,CHW,1,0.6532669305801392,DET,1,0.6532669305801392
2025-04-04,MIL,CIN,1,0.5281457304954529,MIL,1,0.5281457304954529
2025-04-04,CHC,SDP,1,0.49939110279083254,SDP,0,0.5006088972091675
2025-04-04,SFG,SEA,1,0.5612297654151917,SFG,1,0.5612297654151917
2025-04-04,KCR,BAL,1,0.5308941006660461,KCR,1,0.5308941006660461
2025-04-04,PIT,NYY,0,0.38860571980476377,NYY,1,0.6113942801952362
2025-04-04,WSN,ARI,0,0.44876964688301085,ARI,1,0.5512303531169891
2025-04-04,LAA,CLE,0,0.41198118925094607,CLE,1,0.5880188107490539
2025-04-04,BOS,STL,1,0.5452396631240845,BOS,1,0.5452396631240845
2025-04-04,PHI,LAD,1,0.43338111639022825,LAD,0,0.5666188836097718
2025-04-04,NYM,TOR,1,0.5406783223152161,NYM,1,0.5406783223152161
2025-04-05,PHI,LAD,0,0.29400267601013186,LAD,1,0.7059973239898681
