model,games,games_with_odds,bets,wins,losses,win_rate,staked,pnl,roi,ending_bankroll,bankroll_return,avg_edge_bets
market_independent,2722,1946,200,85,115,0.425,697.76,2.989999999999995,0.004285141022701208,102.99,0.029899999999999947,0.08883250000000001
market_aware,2722,1946,12,2,10,0.16666666666666666,27.650000000000002,-12.4,-0.4484629294755877,87.6,-0.12400000000000005,0.07469166666666667
