game_date,home_team,away_team,home_ml,away_ml,home_implied,away_implied,consensus_prob
2026-05-02,PIT,CIN,-136.7,113.7,0.5775,0.468,0.5523
2026-05-02,SDP,CHW,-181.7,150.7,0.645,0.3989,0.6178
2026-05-02,SEA,KCR,-144.7,120.3,0.5913,0.4539,0.5657
2026-05-02,STL,LAD,113.0,-135.7,0.4695,0.5757,0.4492
2026-05-02,TBR,SFG,-103.0,-116.3,0.5074,0.5378,0.4855
2026-05-02,WSN,MIL,111.0,-131.7,0.4739,0.5683,0.4547
2026-05-03,BOS,HOU,-142.0,120.0,0.5868,0.4545,0.5635
2026-05-03,CHC,ARI,-158.0,132.3,0.6124,0.4304,0.5873
2026-05-03,COL,ATL,147.0,-176.7,0.4049,0.6386,0.388
2026-05-03,LAA,NYM,110.3,-131.0,0.4754,0.5671,0.456
2026-05-03,MIA,PHI,121.0,-145.3,0.4525,0.5924,0.4331
2026-05-03,MIN,TOR,-111.3,-107.3,0.5268,0.5177,0.5044
2026-05-03,NYY,BAL,-213.0,175.0,0.6805,0.3636,0.6517
2026-05-03,OAK,CLE,-102.0,-118.0,0.505,0.5413,0.4826
2026-05-03,PIT,CIN,-120.0,100.7,0.5455,0.4983,0.5226
2026-05-03,SDP,CHW,-181.0,149.0,0.6441,0.4016,0.616
2026-05-03,SEA,KCR,-123.7,103.7,0.5529,0.491,0.5297
2026-05-03,STL,LAD,121.0,-145.3,0.4525,0.5924,0.4331
2026-05-03,TBR,SFG,-119.3,100.0,0.5441,0.5,0.5211
2026-05-03,WSN,MIL,113.3,-136.0,0.4688,0.5763,0.4486
2026-05-04,CHC,CIN,-207.3,170.3,0.6746,0.3699,0.6459
2026-05-04,COL,NYM,119.3,-143.0,0.4559,0.5885,0.4365
2026-05-04,DET,BOS,-236.7,192.7,0.703,0.3417,0.6729
2026-05-04,HOU,LAD,170.3,-207.3,0.3699,0.6746,0.3541
2026-05-04,KCR,CLE,-125.0,105.0,0.5556,0.4878,0.5325
2026-05-04,LAA,CHW,-165.0,137.0,0.6226,0.4219,0.5961
2026-05-04,MIA,PHI,-105.0,-115.0,0.5122,0.5349,0.4892
2026-05-04,NYY,BAL,-237.0,194.0,0.7033,0.3401,0.674
2026-05-04,SEA,ATL,-154.0,128.7,0.6063,0.4373,0.581
2026-05-04,SFG,SDP,122.7,-147.0,0.4491,0.5951,0.4301
2026-05-04,STL,MIL,-102.0,-117.3,0.505,0.5399,0.4833
2026-05-04,TBR,TOR,-122.0,102.0,0.5495,0.495,0.5261
