season_phase,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
early,2322.0,163.0,0.07019810508182601,53.0,0.32515337423312884,0.09827975460122698,0.47619509202453986,0.3779276073619632,159.53067484662577,111.23,-20.77,-0.18673019868740448,
late,2370.0,152.0,0.06413502109704641,50.0,0.32894736842105265,0.10187236842105263,0.49403092105263163,0.3921585526315789,148.65131578947367,150.73000000000002,-42.06,-0.2790419956213096,
mid,9266.0,877.0,0.09464709691344701,429.0,0.48916761687571264,0.10815245153933867,0.5146566704675029,0.4064985176738882,125.76259977194984,844.74,138.60000000000002,0.1640741529938206,
