sp_throws,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
L,3874.0,328.0,0.08466701084150749,133.0,0.4054878048780488,0.10892256097560978,0.5148478658536585,0.4059262195121951,127.12896341463416,324.88,-11.809999999999995,-0.03635188377246982,
R,10083.0,864.0,0.08568878310026777,399.0,0.4618055555555556,0.10489270833333333,0.5036994212962963,0.3988028935185185,135.6412037037037,781.82,87.57999999999998,0.11202066971937272,
unknown,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
