month,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
2021-04,742.0,57.0,0.07681940700808626,25.0,0.43859649122807015,0.08525614035087718,0.4810122807017544,0.39575789473684203,149.10526315789474,37.56,2.1800000000000006,0.05804046858359958,
2021-05,806.0,76.0,0.09429280397022333,39.0,0.5131578947368421,0.09909210526315787,0.49275789473684234,0.39364342105263156,150.30263157894737,66.21999999999998,13.86,0.2093023255813954,
2021-06,607.0,44.0,0.07248764415156507,17.0,0.38636363636363635,0.09805000000000001,0.4900431818181818,0.39198636363636363,151.36363636363637,39.160000000000004,-1.8300000000000014,-0.046731358529111366,
2021-07,730.0,115.0,0.15753424657534246,58.0,0.5043478260869565,0.1103391304347826,0.50706,0.3967017391304347,148.62608695652173,131.47,34.059999999999995,0.25907051038259676,
2021-08,607.0,115.0,0.18945634266886327,46.0,0.4,0.10278608695652174,0.5013817391304348,0.3985939130434782,147.38260869565218,131.30999999999997,0.34999999999999964,0.002665448176071889,
2021-09,641.0,77.0,0.12012480499219969,31.0,0.4025974025974026,0.10612727272727272,0.4999103896103897,0.39377792207792195,150.19480519480518,93.88,-22.099999999999998,-0.2354069024286323,
2021-10,30.0,4.0,0.13333333333333333,1.0,0.25,0.07592499999999999,0.47407499999999997,0.398125,147.5,2.94,-1.04,-0.35374149659863946,
2022-04,372.0,69.0,0.18548387096774194,18.0,0.2608695652173913,0.09980289855072463,0.498291304347826,0.39851159420289856,141.8695652173913,46.36,-17.99,-0.38805004314063846,
2022-05,683.0,97.0,0.14202049780380674,55.0,0.5670103092783505,0.09665051546391752,0.4991175257731959,0.4024670103092784,139.5257731958763,59.62,22.479999999999997,0.37705467963770545,
2022-06,529.0,61.0,0.11531190926275993,24.0,0.39344262295081966,0.0991983606557377,0.48536557377049183,0.38617213114754106,149.21311475409837,41.35,-6.600000000000001,-0.15961305925030234,
2022-07,544.0,88.0,0.16176470588235295,46.0,0.5227272727272727,0.1063409090909091,0.5021636363636364,0.39582045454545456,143.02272727272728,79.44,21.21,0.26699395770392753,
2022-08,545.0,92.0,0.1688073394495413,38.0,0.41304347826086957,0.10702391304347826,0.4938097826086956,0.3867923913043479,148.5108695652174,82.69,4.320000000000002,0.05224331841818844,
2022-09,549.0,65.0,0.11839708561020036,15.0,0.23076923076923078,0.0992676923076923,0.4881753846153846,0.3889153846153846,147.69230769230768,49.74999999999999,-19.52,-0.39236180904522616,
2022-10,117.0,6.0,0.05128205128205128,3.0,0.5,0.09278333333333334,0.4953166666666666,0.40253333333333335,140.0,4.16,0.6000000000000001,0.14423076923076925,
2023-03,19.0,1.0,0.05263157894736842,0.0,0.0,0.0904,0.4178,0.3275,192.1,0.57,-0.57,-1.0,
2023-04,396.0,36.0,0.09090909090909091,10.0,0.2777777777777778,0.11620000000000001,0.4278388888888889,0.31164444444444445,208.98333333333335,26.74,-4.389999999999999,-0.16417352281226624,
2023-05,385.0,41.0,0.10649350649350649,25.0,0.6097560975609756,0.12302682926829268,0.5338048780487805,0.4107780487804878,98.40975609756099,38.87,16.19,0.4165165937741189,
2023-06,340.0,17.0,0.05,6.0,0.35294117647058826,0.11051764705882354,0.6183529411764707,0.5078235294117648,-45.95294117647059,16.759999999999998,-5.709999999999999,-0.34069212410501193,
2023-07,312.0,34.0,0.10897435897435898,23.0,0.6764705882352942,0.14287941176470587,0.5680411764705882,0.4251352941176471,90.96176470588236,44.81999999999999,34.42,0.7679607318161537,
2023-08,441.0,32.0,0.07256235827664399,16.0,0.5,0.12269062500000001,0.64299375,0.520290625,-54.728125000000006,47.96,-7.540000000000003,-0.15721434528773984,
2023-09,451.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2024-03,48.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2024-04,380.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2024-05,381.0,7.0,0.01837270341207349,7.0,1.0,0.11854285714285713,0.6384142857142858,0.5198714285714285,-66.94285714285714,7.32,6.3999999999999995,0.8743169398907102,
2024-06,327.0,10.0,0.03058103975535168,6.0,0.6,0.11247,0.6005399999999999,0.48810000000000003,-5.55,9.84,3.0100000000000002,0.30589430894308944,
2024-07,364.0,8.0,0.02197802197802198,5.0,0.625,0.12263750000000001,0.6402375,0.517575,-52.49999999999999,9.05,3.5,0.38674033149171266,
2024-08,370.0,4.0,0.010810810810810811,2.0,0.5,0.12565,0.553525,0.427875,76.22500000000001,4.24,0.15999999999999992,0.03773584905660375,
2024-09,296.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2025-03,41.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2025-04,324.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
2025-05,329.0,8.0,0.0243161094224924,3.0,0.375,0.1321125,0.5182374999999999,0.38616249999999996,148.7375,7.7700000000000005,0.4599999999999995,0.059202059202059135,
2025-06,322.0,12.0,0.037267080745341616,7.0,0.5833333333333334,0.14038333333333333,0.5250333333333334,0.3846333333333333,149.50833333333335,12.399999999999999,2.8700000000000006,0.23145161290322588,
2025-07,319.0,8.0,0.025078369905956112,3.0,0.375,0.1259,0.5118874999999999,0.385975,148.0,7.459999999999999,-1.8599999999999999,-0.24932975871313676,
2025-08,325.0,8.0,0.024615384615384615,3.0,0.375,0.12136250000000001,0.5112625,0.3899125,145.125,6.99,-1.1500000000000001,-0.16452074391988555,
2025-09,286.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
