game_date,home_team,away_team,game_number,game_id,home_offense_re24_15g,away_offense_re24_15g,home_sp_re24_last3,away_sp_re24_last3,home_bullpen_re24_15d,away_bullpen_re24_15d,offense_re24_diff,sp_re24_diff,bullpen_re24_diff
2015-04-10,COL,CHC,1,COL201504100,,,,,0.8294244979048128,1.533659165634192,,,-0.7042346677293793
2015-04-10,LAA,KCR,1,ANA201504100,,,,,0.7620904031439538,1.243016099837142,,,-0.4809256966931882
2015-04-10,MIA,TBR,1,MIA201504100,,,,,0.31507376728488495,0.7001814191453416,,,-0.38510765186045665
2015-04-10,MIL,PIT,1,MIL201504100,,,,,-0.2878640258385456,-0.5072158900866135,,,0.2193518642480679
2015-04-10,NYY,BOS,1,NYA201504100,,,,,0.7272199182263304,0.7008180503247639,,,0.02640186790156651
2015-04-10,PHI,WSN,1,PHI201504100,,,,,0.3845388203574041,1.527137906119048,,,-1.142599085761644
2015-04-10,SDP,SFG,1,SDN201504100,,,,,0.6972263293084954,1.239659627562164,,,-0.5424332982536687
2015-04-10,TEX,HOU,1,TEX201504100,,,,,-0.1632179538847996,0.9872024274694171,,,-1.1504203813542166
2015-04-11,ARI,LAD,1,ARI201504110,,,,,1.1406503184635093,-0.2596860385659169,,,1.4003363570294263
2015-04-11,ATH,SEA,1,OAK201504110,1.8814789044525013,,,,0.7997731670464503,0.18164118659730133,,,0.618131980449149
2015-04-11,ATL,NYM,1,ATL201504110,,,,,2.058115606530266,0.48602981218489205,,,1.5720857943453739
2015-04-11,BAL,TOR,1,BAL201504110,,,,,-1.0006616183032189,-0.4835632010595709,,,-0.5170984172436479
2015-04-11,CHW,MIN,1,CHA201504110,,,,,-1.3804345946385181,-0.12203099793229638,,,-1.2584035967062217
2015-04-11,CIN,STL,1,CIN201504110,,,,,0.7640882566280591,0.4354472008180021,,,0.32864105581005704
2015-04-11,CLE,DET,1,CLE201504110,,,,,0.19380674734143305,0.8057779796853656,,,-0.6119712323439326
2015-04-11,COL,CHC,1,COL201504110,,,,,1.3965240625622894,0.8016366306912389,,,0.5948874318710505
2015-04-11,LAA,KCR,1,ANA201504110,,,,,0.721869190826277,1.264667876767959,,,-0.5427986859416821
2015-04-11,MIA,TBR,1,MIA201504110,,,,,-1.320486938682866,-1.2009857393009213,,,-0.11950119938194459
2015-04-11,MIL,PIT,1,MIL201504110,,,,,-0.022690283525438948,-0.048006115674857464,,,0.025315832149418516
2015-04-11,NYY,BOS,1,NYA201504110,,,,,1.648740803961283,1.318056658304242,,,0.3306841456570411
2015-04-11,PHI,WSN,1,PHI201504110,,,,,0.6208099171581558,0.608173342589544,,,0.01263657456861178
2015-04-11,SDP,SFG,1,SDN201504110,-1.3294485698707117,-1.1998994005494756,,,0.7350641577881845,0.8803692492204253,-0.12954916932123606,,-0.1453050914322408
2015-04-11,TEX,HOU,1,TEX201504110,-1.7991947458339417,,,,-0.021441985742287305,1.0728076224921654,,,-1.0942496082344528
2015-04-12,ARI,LAD,1,ARI201504120,-0.14352847249713357,-0.28547906673617784,,,1.1784448962828897,-0.07167422985461183,0.14195059423904427,,1.2501191261375015
2015-04-12,ATH,SEA,1,OAK201504120,1.4841807722605491,-2.2132412518668434,,,0.6383772933372801,0.24648096916160353,3.6974220241273925,,0.39189632417567655
