sent_at,game_date,alert_type,home,away,side,stake,odds,model_prob,vegas_prob,edge,lineup_status,home_sp,away_sp,game_time
2026-05-08T10:59:31-04:00,2026-05-08,early_actionable,CIN,HOU,CIN,2.37,-142.0,0.6132632970809937,0.5623711526637492,0.050892144417244545,pending,Nick Lodolo,Mike Burrows,6:10 PM
2026-05-08T10:59:39-04:00,2026-05-08,early_actionable,BAL,ATH,ATH,3.5,116.0,0.5138445198535919,0.4429939206350382,0.07085059921855374,pending,Kyle Bradish,Jacob Lopez,7:05 PM
2026-05-08T10:59:46-04:00,2026-05-08,early_actionable,BOS,TBR,TBR,2.67,115.3,0.5032531082630157,0.4447650407202951,0.05848806754272062,pending,Connelly Early,Jesse Scholtens,7:10 PM
2026-05-08T10:59:50-04:00,2026-05-08,early_actionable,MIA,WSN,MIA,2.25,-125.7,0.5839219808578491,0.5339327710928461,0.049989209765002984,pending,Robby Snelling,Foster Griffin,7:10 PM
2026-05-08T10:59:58-04:00,2026-05-08,early_actionable,KCR,DET,DET,3.64,122.7,0.5033958315849304,0.4289004024972455,0.07449542908768492,pending,Kris Bubic,Keider Montero,7:40 PM
2026-05-08T11:00:17-04:00,2026-05-08,early_actionable,ARI,NYM,ARI,6.93,114.3,0.5667625069618225,0.4461410860654391,0.12062142089638339,pending,Ryne Nelson,Nolan McLean,9:40 PM
2026-05-08T11:00:23-04:00,2026-05-08,early_actionable,SDP,STL,STL,4.02,126.0,0.5032531082630157,0.4229687274726823,0.0802843807903334,pending,Griffin Canning,Michael McGreevy,9:45 PM
