team,barrel_pct,hard_hit_pct,avg_exit_velo,year
ARI,0.0519692379398741,0.3239338149615474,84.9121212121212,2015
ATL,0.0311601150527325,0.2897890699904122,83.90357142857144,2015
BAL,0.0635106632294352,0.3515350363252871,88.7925925925926,2015
BOS,0.049538610976202,0.3389995143273434,87.57777777777777,2015
CHC,0.0608029705268043,0.3358087723369691,86.35333333333332,2015
CHW,0.0391786641491621,0.3190936983714892,86.5952380952381,2015
CIN,0.0437652811735941,0.2777506112469438,84.04102564102564,2015
CLE,0.0432668935342732,0.3517258142926592,85.28695652173913,2015
COL,0.0475086906141367,0.3205098493626883,85.20322580645161,2015
DET,0.0577440665524834,0.3386346953755811,88.90434782608695,2015
HOU,0.0659012629161883,0.3547646383467279,87.65384615384616,2015
KCR,0.0436548223350253,0.3208121827411167,84.00416666666666,2015
LAA,0.0515665796344647,0.3030896431679721,86.03999999999999,2015
LAD,0.0606262491672218,0.346435709526982,85.7918918918919,2015
MIA,0.0414947271893626,0.3239339752407152,86.34705882352942,2015
MIL,0.0497750281214848,0.3219910011248594,85.640625,2015
MIN,0.0491343004211511,0.3284978942442677,86.65384615384616,2015
NYM,0.0579450418160095,0.3512544802867383,86.73947368421052,2015
NYY,0.0531496062992126,0.3451443569553806,88.73125,2015
OAK,0.0450189436148874,0.305995096946735,85.97307692307693,2015
PHI,0.0461454940282301,0.3102605863192182,85.49032258064516,2015
PIT,0.0561317876754118,0.3557046979865771,86.96486486486486,2015
SDP,0.0469967328474491,0.3259612968082432,86.8896551724138,2015
SEA,0.0754182754182754,0.3886743886743887,88.83749999999999,2015
SFG,0.0477948717948717,0.3083076923076923,85.88571428571429,2015
STL,0.0567078552515445,0.3334068843777582,87.37878787878788,2015
TBR,0.0534591194968553,0.3265602322206096,88.22413793103448,2015
TEX,0.0540652084193149,0.3518365662401981,86.575,2015
TOR,0.0654674754235515,0.3536916962978456,87.6923076923077,2015
WSN,0.0622911694510739,0.3739856801909308,86.76774193548388,2015
ARI,0.0677006400787789,0.3581979320531758,87.546875,2016
ATL,0.0581603894440174,0.3325646938252626,86.70606060606062,2016
BAL,0.0806965385432151,0.3641962200042472,87.30384615384615,2016
BOS,0.0606633081444164,0.3484466834592779,86.07857142857142,2016
CHC,0.0666207213416034,0.3271307144498047,87.878125,2016
CHW,0.0506298449612403,0.3374515503875969,87.28846153846153,2016
CIN,0.0433051269288203,0.2745146839223494,84.30000000000001,2016
CLE,0.0572669009716766,0.3402935703948728,86.5923076923077,2016
COL,0.0619853613906678,0.3568161024702653,86.05,2016
DET,0.0760448082722964,0.3522188711762171,87.9423076923077,2016
HOU,0.0726256983240223,0.3618588115794819,87.47916666666667,2016
KCR,0.0475682593856655,0.3267918088737201,85.80740740740741,2016
LAA,0.0539932508436445,0.3374578177727784,85.31290322580645,2016
LAD,0.0650966451899577,0.3705843145967563,87.46923076923078,2016
MIA,0.0481641468682505,0.3345572354211663,86.10909090909091,2016
MIL,0.0684641017873371,0.3456528324750075,87.15,2016
MIN,0.0604734945959855,0.3463715903242408,86.81153846153846,2016
NYM,0.0620689655172413,0.3428879310344828,87.24000000000001,2016
NYY,0.0489477417829274,0.3289193662804445,89.60000000000001,2016
OAK,0.0665083135391924,0.3512470308788598,86.912,2016
PHI,0.0499757399320718,0.3381853469189714,86.74,2016
PIT,0.0508514112432936,0.3349661768136225,86.01142857142857,2016
SDP,0.0578895137280846,0.3255044657624876,86.12121212121212,2016
SEA,0.0687485958211637,0.363738485733543,87.46923076923076,2016
SFG,0.0488159534690486,0.3167843788948899,85.89333333333335,2016
STL,0.0743321718931475,0.3612078977932636,85.70689655172414,2016
TBR,0.068207827878233,0.3543144884412909,86.8076923076923,2016
TEX,0.0657528804131903,0.3605482717520858,87.46538461538461,2016
TOR,0.0711369009241349,0.3720180528691167,87.73703703703704,2016
WSN,0.0630029891929179,0.3623821568176592,87.63870967741936,2016
ARI,0.0677353804470535,0.3533529013321291,86.03823529411765,2017
ATL,0.0540939267273174,0.3105483157118269,85.1741935483871,2017
BAL,0.0755485184347432,0.3727663424564578,84.2709677419355,2017
BOS,0.0455192034139402,0.3176183702499492,85.38888888888889,2017
CHC,0.0748344370860927,0.343046357615894,85.19117647058823,2017
CHW,0.0595140595140595,0.3207753207753208,86.68571428571428,2017
CIN,0.0543913350600423,0.2740758182246292,82.75897435897436,2017
CLE,0.0657118786857624,0.3605728727885425,87.61153846153846,2017
COL,0.0498533724340175,0.3160387999097676,83.56428571428572,2017
DET,0.0581395348837209,0.3377501352082206,84.12727272727273,2017
HOU,0.0566606389391199,0.3480008036970062,86.53571428571429,2017
KCR,0.0571847507331378,0.3271889400921659,84.72692307692309,2017
LAA,0.0580299785867237,0.3205567451820128,84.824,2017
LAD,0.0759668508287292,0.3598066298342541,84.91842105263159,2017
MIA,0.0589044235617694,0.3167545267018107,83.75625,2017
MIL,0.0643716104692289,0.3279886819146427,84.86,2017
MIN,0.0601732615312573,0.3324748302505268,83.55454545454546,2017
NYM,0.0515364916773367,0.323943661971831,86.77333333333333,2017
NYY,0.0744704570791527,0.334448160535117,88.76206896551724,2017
OAK,0.0824328496449521,0.3785118863846866,86.79629629629629,2017
PHI,0.055179332831703,0.3340857787810384,86.68620689655172,2017
PIT,0.0439482961222091,0.3027027027027027,85.37878787878788,2017
SDP,0.0518331226295828,0.2862199747155499,84.33055555555556,2017
SEA,0.0649177412183192,0.3519341929746554,86.37586206896552,2017
SFG,0.0480018917001655,0.3007803263182785,85.51176470588236,2017
STL,0.0680666183924692,0.3362297851798214,84.50909090909092,2017
TBR,0.070363466915191,0.3431966449207828,86.71538461538461,2017
TEX,0.0789265982636148,0.3499079189686924,86.824,2017
TOR,0.0695953757225433,0.3401156069364162,84.88125,2017
WSN,0.0657478535924084,0.3615002259376412,85.1029411764706,2017
ARI,0.0692442114460463,0.3368283093053735,85.96363636363637,2018
ATL,0.0572723526988051,0.3440461475072106,87.31944444444444,2018
BAL,0.0636387641932928,0.3451280697121732,84.5875,2018
BOS,0.0817217716781035,0.3905177791640674,88.564,2018
CHC,0.0618856121537086,0.3563449508489723,87.18787878787879,2018
CHW,0.0686324351804778,0.3607015760040671,85.30869565217391,2018
CIN,0.0516372795969773,0.3100755667506297,86.27714285714285,2018
CLE,0.0687786577740725,0.3666110879533139,85.74642857142858,2018
COL,0.0634053668962241,0.3678461173118024,85.56428571428572,2018
DET,0.0545363156572003,0.3292284493591355,88.30000000000001,2018
HOU,0.0601604278074866,0.3435828877005347,87.18260869565218,2018
KCR,0.0642380422691879,0.3462180200222469,89.03793103448275,2018
LAA,0.0789617486338797,0.3811475409836065,87.5,2018
LAD,0.0862139917695473,0.3761316872427983,84.9060606060606,2018
MIA,0.048892490545651,0.3217179902755267,85.79142857142857,2018
