date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-07-06,TBR @ MIN,5.0,7.0,,0.0,-130.5,0.5526,0.5423,0.0102,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,94.68,MIN,TBR,home,True,Joe Ryan,Drew Rasmussen,R,R,,,mid
2025-07-06,PIT @ SEA,1.0,0.0,,0.0,-116.3,0.5427,0.5133,0.0294,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,94.68,SEA,PIT,home,True,George Kirby,Paul Skenes,R,R,,,mid
2025-07-06,NYY @ NYM,4.0,6.0,NYM,1.94,159.7,0.4356,0.3677,0.0679,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-1.94,92.74,NYM,NYY,home,False,Chris Devenski,Max Fried,R,L,,,mid
2025-07-06,KCR @ ARI,0.0,4.0,,0.0,125.5,0.4447,0.425,0.0197,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,92.74,ARI,KCR,away,False,Michael Lorenzen,Anthony DeSclafani,R,R,,,mid
2025-07-06,MIL @ MIA,1.0,3.0,,0.0,-106.3,0.5267,0.4917,0.035,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,92.74,MIA,MIL,away,True,Brandon Woodruff,Edward Cabrera,R,R,,,mid
2025-07-06,CIN @ PHI,3.0,1.0,,0.0,-238.3,0.7043,0.6741,0.0302,<-180,,<-180 excluded by static_underdog_130_170,,0.0,92.74,PHI,CIN,home,True,Zack Wheeler,Chase Burns,R,R,,,mid
2025-07-06,DET @ CLE,2.0,7.0,,0.0,179.2,0.3976,0.3425,0.0551,+170+,,+170+ excluded by static_underdog_130_170,,0.0,92.74,CLE,DET,home,False,Gavin Williams,Tarik Skubal,R,L,,,mid
2025-07-06,STL @ CHC,11.0,0.0,,0.0,181.0,0.3542,0.3403,0.0139,+170+,,+170+ excluded by static_underdog_130_170,,0.0,92.74,CHC,STL,away,False,Erick Fedde,Matt Boyd,R,L,,,mid
2025-07-07,COL @ BOS,9.0,3.0,,0.0,-249.0,0.6941,0.6823,0.0118,<-180,,<-180 excluded by static_underdog_130_170,,0.0,92.74,BOS,COL,home,True,Richard Fitts,Austin Gomber,R,L,,,mid
2025-07-07,PHI @ SFG,3.0,1.0,,0.0,-139.7,0.589,0.5576,0.0314,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,SFG,PHI,away,True,Cristopher Sanchez,Landen Roupp,L,R,,,mid
2025-07-07,TBR @ DET,5.0,1.0,,0.0,,,,,,,missing odds,,0.0,92.74,DET,TBR,,,,,,,,,
2025-07-07,PIT @ KCR,9.0,3.0,,0.0,127.8,0.4399,0.4204,0.0195,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,92.74,KCR,PIT,away,False,Andrew Heaney,Noah Cameron,L,L,,,mid
2025-07-07,ARI @ SDP,3.0,6.0,,0.0,-128.3,0.5573,0.5363,0.021,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,SDP,ARI,home,True,Yu Darvish,Zac Gallen,R,R,,,mid
2025-07-07,TOR @ CHW,4.0,8.0,,0.0,-170.3,0.6041,0.6032,0.0009,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,92.74,CHW,TOR,away,True,Jose Berrios,Sean Burke,R,R,,,mid
2025-07-07,LAD @ MIL,9.0,1.0,,0.0,-142.3,0.5733,0.5601,0.0132,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,92.74,MIL,LAD,away,True,Yoshinobu Yamamoto,Freddy Peralta,R,R,,,mid
2025-07-07,CLE @ HOU,5.0,7.0,,0.0,-140.8,0.6426,0.559,0.0836,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,92.74,HOU,CLE,home,True,Colton Gordon,Tanner Bibee,L,R,,,mid
2025-07-07,MIA @ CIN,1.0,5.0,,0.0,119.0,0.4399,0.4378,0.0021,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,92.74,CIN,MIA,away,False,Janson Junk,Brady Singer,R,R,,,mid
2025-07-07,TEX @ LAA,6.0,5.0,,0.0,-139.2,0.5733,0.556,0.0173,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,LAA,TEX,away,True,Jacob deGrom,Yusei Kikuchi,R,L,,,mid
2025-07-08,WSN @ STL,4.0,2.0,,0.0,-232.5,0.6769,0.6684,0.0084,<-180,,<-180 excluded by static_underdog_130_170,,0.0,92.74,STL,WSN,home,True,Sonny Gray,Jake Irvin,R,R,,,mid
2025-07-08,ARI @ SDP,1.0,0.0,,0.0,,,,,,,missing odds,,0.0,92.74,SDP,ARI,,,,,,,,,
2025-07-08,TEX @ LAA,1.0,13.0,,0.0,,,,,,,missing odds,,0.0,92.74,LAA,TEX,,,,,,,,,
2025-07-08,CHC @ MIN,8.0,1.0,,0.0,-137.5,0.5653,0.5534,0.0119,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,MIN,CHC,away,True,Shota Imanaga,Simeon Woods Richardson,L,R,,,mid
2025-07-08,MIA @ CIN,2.0,12.0,,0.0,,,,,,,missing odds,,0.0,92.74,CIN,MIA,,,,,,,,,
2025-07-08,NYM @ BAL,6.0,7.0,,0.0,107.0,0.5134,0.4625,0.0509,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,92.74,BAL,NYM,home,False,Brandon Young,Clay Holmes,R,R,,,mid
