model_name,games,avg_accuracy,avg_log_loss,avg_brier,avg_auc,avg_confidence
cat_pair,5595,0.5549223120535527,0.6807893682080799,0.24418721510848337,0.5713471106609451,0.5647355356325567
cat_current,5595,0.5545541099416641,0.6807968167571596,0.24417630609782937,0.5714182897335678,0.5646669001793556
only_cat_current,5595,0.5545541099416641,0.6807968167571596,0.24417630609782937,0.5714182897335678,0.5646669001793556
grid_cur_x0.1_l0.1_c0.8,5595,0.5494252978534484,0.6809516556907896,0.2442435524516,0.5710248710038578,0.5641468217969243
grid_cur_x0.2_l0.1_c0.7,5595,0.5499094218339976,0.6810293610193522,0.2442741446196093,0.5710381909190752,0.5641398931234701
cat_reg,5595,0.5520518414286251,0.6810854879641574,0.24434558489119484,0.5699687815737996,0.5653387836862103
only_cat_reg,5595,0.5520518414286251,0.6810854879641574,0.24434558489119484,0.5699687815737996,0.5653387836862103
grid_cur_x0.1_l0.2_c0.7,5595,0.5509312390115729,0.6810907835948642,0.24431053881905587,0.5704977103536016,0.5637369600258426
grid_cur_x0.3_l0.1_c0.6,5595,0.5510935174510307,0.6811265160481611,0.2443143780686643,0.5710855144266112,0.5641564886462592
cat_current_heavy,5595,0.5492619397495276,0.6811797027948131,0.2443465743010049,0.5705691737904174,0.5637397333878238
grid_cur_x0.2_l0.2_c0.6,5595,0.5492619397495276,0.6811797027948131,0.2443465743010049,0.5705691737904174,0.5637397333878238
grid_cur_x0.4_l0.1_c0.5,5595,0.5507374595349065,0.6812431730881855,0.24436425279876486,0.5709540546815988,0.5641989948836055
grid_cur_x0.1_l0.3_c0.6,5595,0.5517976656842531,0.6812614101651594,0.24439277277322102,0.5698831685324061,0.5633749110154329
grid_cur_x0.3_l0.2_c0.5,5595,0.5508373853221809,0.6812881093414941,0.2443922510639995,0.5703781676530888,0.5637691129719218
grid_cur_x0.2_l0.3_c0.5,5595,0.5517038119948611,0.6813616185886513,0.24443425156910967,0.5695997553380031,0.5633937364832268
grid_cur_x0.4_l0.2_c0.4,5595,0.5509654513866057,0.6814160680869114,0.24444756910803978,0.5700028242206772,0.5638253949170021
grid_cur_x0.1_l0.4_c0.5,5595,0.5506972359453258,0.6814636773800139,0.2444902543140954,0.5689461697463019,0.5630758300711572
grid_cur_x0.3_l0.3_c0.4,5595,0.5521616911994033,0.6814813702295804,0.24448537164604398,0.5693081500541043,0.5634366237382201
grid_cur_x0.2_l0.4_c0.4,5595,0.5518641949331752,0.6815752797848904,0.2445371764239237,0.5688287269402568,0.5631039504218821
equal_current_trees,5595,0.5516190664522923,0.68159840888039,0.24453958753786462,0.5690239389041536,0.5633597135279583
grid_cur_x0.4_l0.3_c0.3,5595,0.5518440222550506,0.6816207432791129,0.24454613300402392,0.5689727416034182,0.563505423073752
cat_reg_heavy,5595,0.5516563148762664,0.6816210951282221,0.24460165964441782,0.5679690132379408,0.5645573621968393
stacked_logreg,5595,0.5555657393079528,0.6816540569973447,0.24444908273501595,0.571230315837854,0.5639807789034266
grid_cur_x0.3_l0.4_c0.3,5595,0.5506215985495805,0.6817065008846552,0.24459373981479768,0.5683837272196289,0.5631561740324423
equal_all,5595,0.5507637043109135,0.6817986552590032,0.24465834075646253,0.5679007440823666,0.563697449594333
grid_cur_x0.4_l0.4_c0.2,5595,0.5523543910116065,0.6818574332864169,0.24465994448671724,0.5681149201386685,0.5632367529842467
reg_trees_equal,5595,0.549633993747038,0.6821308820874785,0.24484324091304768,0.5666410236037206,0.5642293555996595
only_xgb_current,5595,0.5510259085376457,0.6821476460314936,0.2447652394751237,0.5692043945309648,0.5652952608165025
xgb_current,5595,0.5510259085376457,0.6821476460314936,0.2447652394751237,0.5692043945309648,0.5652952608165025
only_xgb_reg,5595,0.5493223969005675,0.6827511583053519,0.24512099324536715,0.5653952581390754,0.5651636796636806
xgb_reg,5595,0.5493223969005675,0.6827511583053519,0.24512099324536715,0.5653952581390754,0.5651636796636806
lgb_current,5595,0.5505660729486254,0.6831957960955864,0.24532540216781473,0.5630469795574325,0.5620984215285522
only_lgb_current,5595,0.5505660729486254,0.6831957960955864,0.24532540216781473,0.5630469795574325,0.5620984215285522
lgb_reg,5595,0.5506678942370433,0.6835146625428662,0.24549343541937163,0.5625797160581087,0.5632540422287704
only_lgb_reg,5595,0.5506678942370433,0.6835146625428662,0.24549343541937163,0.5625797160581087,0.5632540422287704
