Date,year,home_team,away_team,home_win,home_runs,away_runs
2026-03-28,2026,BAL,MIN,0,1,4
2026-03-28,2026,CHC,WSN,1,10,2
2026-03-28,2026,CIN,BOS,1,6,5
2026-03-28,2026,HOU,LAA,1,11,9
2026-03-28,2026,LAD,ARI,1,3,2
2026-03-28,2026,MIA,COL,1,4,3
2026-03-28,2026,MIL,CHW,1,6,1
2026-03-28,2026,NYM,PIT,1,4,2
2026-03-28,2026,PHI,TEX,0,4,5
2026-03-28,2026,SDP,DET,1,3,0
2026-03-28,2026,SEA,CLE,0,5,6
2026-03-28,2026,SFG,NYY,0,1,3
2026-03-28,2026,STL,TBR,1,6,5
2026-03-28,2026,TOR,OAK,1,8,7
2026-03-29,2026,ATL,KCR,0,1,4
2026-03-29,2026,BAL,MIN,1,8,6
2026-03-29,2026,CHC,WSN,0,3,6
2026-03-29,2026,CIN,BOS,1,3,2
2026-03-29,2026,HOU,LAA,1,9,7
2026-03-29,2026,MIA,COL,1,4,3
2026-03-29,2026,MIL,CHW,1,9,7
2026-03-29,2026,NYM,PIT,0,3,4
2026-03-29,2026,PHI,TEX,0,3,8
2026-03-29,2026,SEA,CLE,1,8,0
2026-03-29,2026,STL,TBR,0,7,11
2026-03-29,2026,TOR,OAK,1,5,2
2026-03-30,2026,ARI,DET,1,9,6
2026-03-30,2026,ATL,OAK,1,4,0
2026-03-30,2026,BAL,TEX,0,2,5
2026-03-30,2026,CHC,LAA,1,7,2
2026-03-30,2026,CIN,PIT,1,2,0
2026-03-30,2026,HOU,BOS,1,8,1
2026-03-30,2026,KCR,MIN,1,3,1
2026-03-30,2026,LAD,CLE,0,2,4
2026-03-30,2026,MIA,CHW,0,4,9
2026-03-30,2026,MIL,TBR,0,2,3
2026-03-30,2026,PHI,WSN,0,2,13
2026-03-30,2026,SDP,SFG,0,2,3
2026-03-30,2026,SEA,NYY,1,2,1
2026-03-30,2026,STL,NYM,0,2,4
2026-03-30,2026,TOR,COL,0,5,14
2026-03-31,2026,ARI,DET,1,7,5
2026-03-31,2026,ATL,OAK,0,2,5
2026-03-31,2026,BAL,TEX,0,5,8
2026-03-31,2026,CHC,LAA,0,0,2
2026-03-31,2026,CIN,PIT,0,3,8
2026-03-31,2026,HOU,BOS,1,9,2
2026-03-31,2026,LAD,CLE,1,4,1
2026-03-31,2026,MIA,CHW,1,9,2
2026-03-31,2026,MIL,TBR,1,6,2
2026-03-31,2026,PHI,WSN,1,3,2
2026-03-31,2026,SDP,SFG,0,3,9
2026-03-31,2026,SEA,NYY,0,0,5
2026-03-31,2026,STL,NYM,1,3,0
2026-03-31,2026,TOR,COL,1,5,1
2026-04-01,2026,ARI,DET,1,1,0
2026-04-01,2026,ATL,OAK,1,5,1
2026-04-01,2026,BAL,TEX,1,8,3
2026-04-01,2026,CHC,LAA,1,6,2
2026-04-01,2026,CIN,PIT,0,3,8
2026-04-01,2026,HOU,BOS,1,6,4
2026-04-01,2026,KCR,MIN,1,13,9
2026-04-01,2026,LAD,CLE,0,1,4
2026-04-01,2026,MIA,CHW,1,10,0
2026-04-01,2026,MIL,TBR,1,8,2
2026-04-01,2026,PHI,WSN,1,6,5
2026-04-01,2026,SDP,SFG,1,7,1
2026-04-01,2026,SEA,NYY,0,3,5
2026-04-01,2026,STL,NYM,1,2,1
2026-04-01,2026,TOR,COL,0,1,2
2026-04-02,2026,ARI,ATL,0,2,17
2026-04-02,2026,KCR,MIN,0,1,5
2026-04-02,2026,SFG,NYM,1,7,2
2026-04-03,2026,ARI,ATL,0,0,2
2026-04-03,2026,BOS,SDP,1,5,2
2026-04-03,2026,CHW,TOR,1,5,4
2026-04-03,2026,CLE,CHC,1,4,1
2026-04-03,2026,COL,PHI,0,1,10
2026-04-03,2026,DET,STL,1,4,0
2026-04-03,2026,LAA,SEA,0,1,3
2026-04-03,2026,MIN,TBR,1,10,4
2026-04-03,2026,NYY,MIA,1,8,2
2026-04-03,2026,OAK,HOU,1,11,4
2026-04-03,2026,PIT,BAL,1,5,4
2026-04-03,2026,SFG,NYM,0,3,10
2026-04-03,2026,TEX,CIN,0,3,5
2026-04-03,2026,WSN,LAD,0,6,13
2026-04-04,2026,ARI,ATL,1,2,1
2026-04-04,2026,BOS,SDP,0,2,3
2026-04-04,2026,CHW,TOR,1,6,3
2026-04-04,2026,COL,PHI,0,1,2
2026-04-04,2026,KCR,MIL,0,2,5
2026-04-04,2026,LAA,SEA,1,1,0
2026-04-04,2026,MIN,TBR,0,1,7
2026-04-04,2026,NYY,MIA,1,9,7
2026-04-04,2026,OAK,HOU,0,0,11
2026-04-04,2026,PIT,BAL,1,3,2
2026-04-04,2026,SFG,NYM,0,0,9
2026-04-04,2026,TEX,CIN,0,0,2
2026-04-04,2026,WSN,LAD,0,5,10
2026-04-05,2026,ARI,ATL,1,6,5
2026-04-05,2026,BOS,SDP,0,6,8
2026-04-05,2026,CHW,TOR,1,3,0
2026-04-05,2026,CLE,CHC,0,0,1
2026-04-05,2026,COL,PHI,1,4,1
2026-04-05,2026,DET,STL,0,3,5
2026-04-05,2026,KCR,MIL,0,5,8
2026-04-05,2026,LAA,SEA,1,8,7
2026-04-05,2026,MIN,TBR,0,1,4
2026-04-05,2026,NYY,MIA,0,6,7
2026-04-05,2026,OAK,HOU,1,12,10
2026-04-05,2026,PIT,BAL,1,8,2
2026-04-05,2026,SFG,NYM,0,2,5
2026-04-05,2026,TEX,CIN,0,1,2
2026-04-05,2026,WSN,LAD,0,6,8
2026-04-06,2026,BOS,MIL,0,6,8
2026-04-06,2026,CHW,BAL,0,1,2
2026-04-06,2026,CLE,KCR,0,2,4
2026-04-06,2026,COL,HOU,1,9,7
2026-04-06,2026,LAA,ATL,1,6,2
2026-04-06,2026,MIA,CIN,0,0,2
2026-04-06,2026,MIN,DET,1,7,3
2026-04-06,2026,PIT,SDP,0,0,5
2026-04-06,2026,SFG,PHI,0,4,6
2026-04-06,2026,TBR,CHC,1,6,4
2026-04-06,2026,TEX,SEA,1,2,1
2026-04-06,2026,TOR,LAD,0,2,14
2026-04-06,2026,WSN,STL,1,9,6
2026-04-07,2026,BOS,MIL,1,3,2
2026-04-07,2026,CHW,BAL,0,2,4
2026-04-07,2026,CLE,KCR,1,2,1
2026-04-07,2026,COL,HOU,1,5,1
2026-04-07,2026,LAA,ATL,0,2,7
2026-04-07,2026,MIA,CIN,0,3,6
2026-04-07,2026,MIN,DET,1,4,2
2026-04-07,2026,NYM,ARI,1,4,3
2026-04-07,2026,NYY,OAK,1,5,3
2026-04-07,2026,PIT,SDP,1,7,1
2026-04-07,2026,SFG,PHI,1,6,0
2026-04-07,2026,TBR,CHC,0,2,9
2026-04-07,2026,TEX,SEA,1,3,2
2026-04-07,2026,TOR,LAD,0,1,4
2026-04-07,2026,WSN,STL,0,6,7
2026-04-08,2026,BOS,MIL,1,5,0
2026-04-08,2026,CHW,BAL,0,3,5
2026-04-08,2026,CLE,KCR,1,10,2
2026-04-08,2026,COL,HOU,1,9,1
2026-04-08,2026,LAA,ATL,0,2,8
2026-04-08,2026,MIA,CIN,1,7,4
2026-04-08,2026,MIN,DET,1,8,6
2026-04-08,2026,NYM,ARI,0,2,7
2026-04-08,2026,NYY,OAK,0,2,3
2026-04-08,2026,PIT,SDP,0,2,8
2026-04-08,2026,SFG,PHI,1,5,0
2026-04-08,2026,TBR,CHC,0,2,6
2026-04-08,2026,TEX,SEA,1,3,0
2026-04-08,2026,TOR,LAD,1,4,3
2026-04-08,2026,WSN,STL,0,1,6
2026-04-09,2026,KCR,CHW,0,0,2
2026-04-09,2026,MIA,CIN,1,8,1
2026-04-09,2026,MIN,DET,1,3,1
2026-04-09,2026,NYM,ARI,0,1,7
2026-04-09,2026,NYY,OAK,0,0,1
2026-04-09,2026,SDP,COL,1,7,3
2026-04-10,2026,ATL,CLE,1,11,5
2026-04-10,2026,BAL,SFG,0,3,6
2026-04-10,2026,CHC,PIT,0,0,2
2026-04-10,2026,CIN,LAA,0,2,10
2026-04-10,2026,DET,MIA,1,2,0
2026-04-10,2026,KCR,CHW,1,2,0
2026-04-10,2026,LAD,TEX,1,8,7
2026-04-10,2026,MIL,WSN,0,3,7
2026-04-10,2026,NYM,OAK,0,0,4
2026-04-10,2026,PHI,ARI,0,4,5
2026-04-10,2026,SDP,COL,1,5,2
2026-04-10,2026,SEA,HOU,1,9,6
2026-04-10,2026,STL,BOS,1,3,2
2026-04-10,2026,TBR,NYY,1,5,3
2026-04-10,2026,TOR,MIN,1,10,4
2026-04-11,2026,ATL,CLE,0,0,6
2026-04-11,2026,BAL,SFG,1,6,2
2026-04-11,2026,CHC,PIT,0,3,4
2026-04-11,2026,CIN,LAA,1,7,3
2026-04-11,2026,DET,MIA,1,6,1
2026-04-11,2026,KCR,CHW,1,2,0
2026-04-11,2026,LAD,TEX,1,6,3
2026-04-11,2026,MIL,WSN,0,1,3
2026-04-11,2026,NYM,OAK,0,6,11
2026-04-11,2026,PHI,ARI,1,4,3
2026-04-11,2026,SDP,COL,1,9,5
2026-04-11,2026,SEA,HOU,1,8,7
2026-04-11,2026,STL,BOS,0,1,7
2026-04-11,2026,TBR,NYY,1,5,4
2026-04-11,2026,TOR,MIN,0,4,7
2026-04-12,2026,ATL,CLE,1,13,1
2026-04-12,2026,BAL,SFG,1,6,2
2026-04-12,2026,CHC,PIT,1,7,6
2026-04-12,2026,CIN,LAA,0,6,9
2026-04-12,2026,DET,MIA,1,8,2
2026-04-12,2026,KCR,CHW,0,5,6
2026-04-12,2026,LAD,TEX,0,2,5
2026-04-12,2026,MIL,WSN,0,6,8
2026-04-12,2026,NYM,OAK,0,0,1
2026-04-12,2026,PHI,ARI,0,3,4
2026-04-12,2026,SDP,COL,1,7,2
2026-04-12,2026,SEA,HOU,1,6,1
2026-04-12,2026,STL,BOS,0,3,9
2026-04-12,2026,TBR,NYY,1,5,4
2026-04-12,2026,TOR,MIN,0,2,8
2026-04-13,2026,ATL,MIA,0,4,10
2026-04-13,2026,BAL,ARI,1,9,7
2026-04-13,2026,LAD,NYM,1,4,0
2026-04-13,2026,MIN,BOS,1,13,6
2026-04-13,2026,NYY,LAA,1,11,10
2026-04-13,2026,OAK,TEX,0,1,8
2026-04-13,2026,PHI,CHC,1,13,7
2026-04-13,2026,PIT,WSN,1,16,5
2026-04-13,2026,SEA,HOU,1,6,2
2026-04-13,2026,STL,CLE,0,3,9
2026-04-14,2026,ATL,MIA,1,6,5
2026-04-14,2026,BAL,ARI,0,3,4
2026-04-14,2026,CHW,TBR,0,5,8
2026-04-14,2026,CIN,SFG,1,2,1
2026-04-14,2026,DET,KCR,1,2,1
2026-04-14,2026,HOU,COL,1,7,6
2026-04-14,2026,LAD,NYM,1,2,1
2026-04-14,2026,MIL,TOR,0,7,9
2026-04-14,2026,MIN,BOS,1,6,0
2026-04-14,2026,NYY,LAA,0,1,7
2026-04-14,2026,OAK,TEX,1,2,1
2026-04-14,2026,PHI,CHC,0,4,10
2026-04-14,2026,PIT,WSN,0,4,5
2026-04-14,2026,SDP,SEA,1,4,1
2026-04-14,2026,STL,CLE,1,6,5
2026-04-15,2026,ATL,MIA,1,6,3
2026-04-15,2026,BAL,ARI,0,5,8
