year,games,lineup_rows,home_lineup_vs_sp_coverage,away_lineup_vs_sp_coverage,home_sp_hand_coverage,away_sp_hand_coverage,lineup_row_coverage
2015,3192,3189,0.9357769423558897,0.9467418546365914,0.9367167919799498,0.9476817042606517,0.9990601503759399
2016,2832,2832,0.9290254237288136,0.9254943502824858,0.9290254237288136,0.9254943502824858,1.0
2017,3285,3282,0.9324200913242009,0.9363774733637747,0.9333333333333333,0.9372907153729072,0.9990867579908675
2018,3437,3437,0.9403549607215596,0.9074774512656386,0.9403549607215596,0.9074774512656386,1.0
2019,3404,3404,0.918918918918919,0.9130434782608695,0.918918918918919,0.9130434782608695,1.0
2020,2243,2235,0.925100312082033,0.9264378065091395,0.9286669638876505,0.930004458314757,0.9964333481943826
2021,4168,4168,0.9431381957773513,0.9498560460652591,0.9431381957773513,0.9498560460652591,1.0
2022,4454,4454,0.9541984732824428,0.9494836102379883,0.9541984732824428,0.9494836102379883,1.0
2023,3465,3465,0.9471861471861471,0.9362193362193362,0.9471861471861471,0.9362193362193362,1.0
2024,3269,3269,0.941572346283267,0.9559498317528297,0.941572346283267,0.9559498317528297,1.0
2025,3170,3094,0.9201892744479495,0.9182965299684542,0.9441640378548896,0.9406940063091482,0.97602523659306
2026,607,0,0.0,0.0,0.0,0.0,0.0
