Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-03-21,KCR,COL,1,2026,mlb_666142,Cole Ragans,mlb_607536,Kyle Freeland,,20260321_KCR_COL_1
2026-03-21,LAD,ATH,1,2026,mlb_686218,Emmet Sheehan,mlb_682052,Jacob Lopez,,20260321_LAD_ATH_1
2026-03-21,MIL,SDP,1,2026,mlb_688107,Robert Gasser,mlb_681190,Randy Vásquez,,20260321_MIL_SDP_1
2026-03-21,NYM,HOU,1,2026,mlb_804636,Jonah Tong,mlb_681347,Mike Burrows,,20260321_NYM_HOU_1
2026-03-21,PIT,TOR,1,2026,mlb_694973,Paul Skenes,mlb_592332,Kevin Gausman,,20260321_PIT_TOR_1
2026-03-21,SEA,CHC,1,2026,mlb_669923,George Kirby,mlb_607067,Colin Rea,,20260321_SEA_CHC_1
2026-03-21,SFG,CLE,1,2026,mlb_592662,Robbie Ray,mlb_676440,Tanner Bibee,,20260321_SFG_CLE_1
2026-03-21,STL,MIA,1,2026,mlb_695766,Mason Molina,mlb_676083,Janson Junk,,20260321_STL_MIA_1
2026-03-21,TBR,MIN,1,2026,mlb_691765,Jackson Baumeister,mlb_657746,Joe Ryan,,20260321_TBR_MIN_1
2026-03-21,WSN,NYM,1,2026,mlb_676917,Cade Cavalli,mlb_680933,Joander Suarez,,20260321_WSN_NYM_1
2026-03-22,BAL,WSN,1,2026,mlb_680694,Kyle Bradish,mlb_680730,Mitchell Parker,,20260322_BAL_WSN_1
2026-03-22,CHC,MIL,1,2026,mlb_690990,Cade Horton,mlb_694477,Chad Patrick,,20260322_CHC_MIL_1
2026-03-22,CHW,SEA,1,2026,mlb_680732,Sean Burke,mlb_693433,Bryan Woo,,20260322_CHW_SEA_1
2026-03-22,CLE,CIN,1,2026,mlb_668909,Gavin Williams,mlb_666157,Nick Lodolo,,20260322_CLE_CIN_1
2026-03-22,COL,ATH,1,2026,mlb_547179,Michael Lorenzen,mlb_605488,Jeffrey Springs,,20260322_COL_ATH_1
2026-03-22,HOU,STL,1,2026,mlb_664299,Cristian Javier,mlb_700241,Michael McGreevy,,20260322_HOU_STL_1
2026-03-22,LAA,LAD,1,2026,mlb_691946,George Klassen,mlb_607192,Tyler Glasnow,,20260322_LAA_LAD_1
2026-03-22,MIA,NYM,1,2026,mlb_645261,Sandy Alcantara,mlb_656849,David Peterson,,20260322_MIA_NYM_1
2026-03-22,MIN,ATL,1,2026,mlb_671737,Taj Bradley,mlb_625643,Reynaldo López,,20260322_MIN_ATL_1
2026-03-22,NYY,PHI,1,2026,mlb_701542,Will Warren,mlb_605400,Aaron Nola,,20260322_NYY_PHI_1
2026-03-22,PIT,BOS,1,2026,mlb_656605,Mitch Keller,mlb_543243,Sonny Gray,,20260322_PIT_BOS_1
2026-03-22,SDP,ARI,1,2026,mlb_621111,Walker Buehler,mlb_595928,John Curtiss,,20260322_SDP_ARI_1
2026-03-22,TOR,TBR,1,2026,mlb_656302,Dylan Cease,mlb_607259,Nick Martinez,,20260322_TOR_TBR_1
2026-03-22,UNK105,SFG,1,2026,mlb_802609,John Michael Bertrand,mlb_641816,Tyler Mahle,,20260322_UNK105_SFG_1
2026-03-23,ARI,CLE,1,2026,mlb_518876,Merrill Kelly,mlb_677944,Slade Cecconi,,20260323_ARI_CLE_1
2026-03-23,ATH,CHW,1,2026,mlb_806960,Luis Morales,mlb_641743,Anthony Kay,,20260323_ATH_CHW_1
2026-03-23,BOS,MIN,1,2026,mlb_670912,Johan Oviedo,mlb_641927,Bailey Ober,,20260323_BOS_MIN_1
2026-03-23,CHC,NYY,1,2026,mlb_684007,Shota Imanaga,mlb_801739,Carlos Lagrange,,20260323_CHC_NYY_1
2026-03-23,COL,DET,1,2026,mlb_663372,Ryan Feltner,mlb_656427,Jack Flaherty,,20260323_COL_DET_1
