date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.3959,0.3948,0.0011,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,BAL @ MIN,5.0,2.0,,0.0,-167.8,0.617,0.5999,0.0171,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,103.01,MIN,BAL,home,True,Bailey Ober,Dean Kremer,R,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,1.0,11.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,TEX @ BOS,5.0,0.0,,0.0,130.7,0.4236,0.4152,0.0084,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,BOS,TEX,away,False,Jack Leiter,Brayan Bello,R,R,,,mid
2025-05-08,DET @ COL,2.0,10.0,,0.0,143.0,0.4181,0.3948,0.0233,+130:+170,0.06,edge <= 6% threshold,,0.0,103.01,COL,DET,home,False,Kyle Freeland,Casey Mize,L,R,,,mid
2025-05-08,CIN @ ATL,5.0,4.0,CIN,3.57,160.8,0.4689,0.3656,0.1033,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-3.57,99.44,ATL,CIN,away,False,Nick Lodolo,Spencer Schwellenbach,L,R,,,mid
2025-05-08,LAD @ ARI,5.0,3.0,,0.0,134.8,0.4561,0.4083,0.0478,+130:+170,0.06,edge <= 6% threshold,,0.0,99.44,ARI,LAD,home,False,Brandon Pfaadt,Yoshinobu Yamamoto,R,R,,,mid
2025-05-08,TOR @ LAA,5.0,8.0,,0.0,114.7,0.5021,0.448,0.0541,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,99.44,LAA,TOR,home,False,Jose Soriano,Chris Bassitt,R,R,,,mid
2025-05-08,CHW @ KCR,10.0,0.0,,0.0,201.7,0.3984,0.3178,0.0806,+170+,,+170+ excluded by static_underdog_130_170,,0.0,99.44,KCR,CHW,away,False,Davis Martin,Kris Bubic,R,L,,,mid
2025-05-08,PHI @ TBR,6.0,7.0,TBR,1.95,136.3,0.4685,0.4036,0.065,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-1.95,97.49,TBR,PHI,home,False,Ryan Pepiot,Jesus Luzardo,R,L,,,mid
2025-05-09,TEX @ DET,2.0,1.0,,0.0,240.0,0.3405,0.2828,0.0578,+170+,,+170+ excluded by static_underdog_130_170,,0.0,97.49,DET,TEX,away,False,Patrick Corbin,Tarik Skubal,L,L,,,mid
2025-05-09,ATL @ PIT,3.0,2.0,,0.0,126.2,0.4654,0.4235,0.0419,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,97.49,PIT,ATL,home,False,Bailey Falter,Bryce Elder,L,R,,,mid
2025-05-09,MIL @ TBR,4.0,3.0,,0.0,,,,,,,missing odds,,0.0,97.49,TBR,MIL,,,,,,,,,
