opp_sp_throws,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
L,3982.0,349.0,0.08764439979909593,157.0,0.4498567335243553,0.11390085959885388,0.5140951289398281,0.40018567335243554,132.76618911174785,362.64,20.749999999999993,0.05721928082947274,
R,9975.0,843.0,0.08451127819548872,375.0,0.44483985765124556,0.10273131672597866,0.5037333333333334,0.4010020166073547,133.51945432977462,744.06,55.019999999999996,0.07394564954439158,
unknown,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
