odds_bucket,candidate_games,bets,bet_rate,wins,win_rate,avg_edge,avg_model_prob,avg_vegas_prob,avg_odds,staked,pnl,roi,avg_clv_prob
<-180,572.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
-180:-140,1296.0,62.0,0.047839506172839504,39.0,0.6290322580645161,0.11303064516129031,0.6953661290322581,0.5823290322580645,-157.44032258064522,78.78,2.68,0.03401878649403402,
-140:-115,1501.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
-115:+100,1425.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
+100:+130,3319.0,0.0,0.0,0.0,,,,,,0.0,0.0,,
+130:+170,3344.0,1093.0,0.32685406698564595,483.0,0.44190301921317476,0.10528124428179324,0.4987499542543458,0.39346605672461116,147.24437328453797,1000.6099999999999,78.05,0.07800241852469994,
+170+,2501.0,37.0,0.01479408236705318,10.0,0.2702702702702703,0.1155027027027027,0.42756756756756753,0.312072972972973,208.52702702702706,27.309999999999995,-4.959999999999999,-0.1816184547784694,
