team,side,games,avg_pred_prob,actual_win_rate,calibration_error,abs_calibration_error,direction,brier
TOR,home,101,0.53251155366992,0.6435643564356436,0.1110528027657236,0.1110528027657236,underconfident,0.24238065122340274
COL,away,101,0.36833132410993663,0.25742574257425743,-0.1109055815356792,0.1109055815356792,overconfident,0.19908658182246042
COL,home,103,0.4239117837646632,0.3300970873786408,-0.09381469638602241,0.09381469638602241,overconfident,0.2321571623687272
WSN,home,100,0.4642038039565085,0.38,-0.0842038039565085,0.0842038039565085,overconfident,0.24708357198800843
MIN,away,96,0.4514485794429978,0.375,-0.07644857944299782,0.07644857944299782,overconfident,0.24082571156620647
NYM,away,98,0.48982309121258405,0.41836734693877553,-0.07145574427380852,0.07145574427380852,overconfident,0.23889918001251711
TEX,home,100,0.5194091063737869,0.59,0.07059089362621307,0.07059089362621307,underconfident,0.24259824815402603
MIL,home,103,0.5632673349195314,0.6310679611650486,0.06780062624551719,0.06780062624551719,underconfident,0.23632184685401814
MIA,away,98,0.4141459479623912,0.47959183673469385,0.06544588877230267,0.06544588877230267,underconfident,0.25821809228364234
CHC,home,105,0.5776846819832212,0.638095238095238,0.060410556112016844,0.060410556112016844,underconfident,0.22681448689687508
PIT,away,99,0.42386642339253666,0.36363636363636365,-0.060230059756173016,0.060230059756173016,overconfident,0.2385594322171612
PHI,away,98,0.5255870595574379,0.46938775510204084,-0.05619930445539706,0.05619930445539706,overconfident,0.24359713277037132
CLE,away,103,0.4584324655602279,0.5145631067961165,0.05613064123588862,0.05613064123588862,underconfident,0.2536205328482051
NYY,home,103,0.5847195970201956,0.6407766990291263,0.05605710200893066,0.05605710200893066,underconfident,0.23137729994866044
STL,home,104,0.4944779339891214,0.5480769230769231,0.05359898908780175,0.05359898908780175,underconfident,0.2544223007712174
KCR,away,101,0.4792979675354345,0.42574257425742573,-0.05355539327800879,0.05355539327800879,overconfident,0.2424893782630579
SEA,home,104,0.5562694575351018,0.6057692307692307,0.04949977323412891,0.04949977323412891,underconfident,0.22840544798254672
SDP,home,103,0.5727561928114845,0.6213592233009708,0.04860303048948633,0.04860303048948633,underconfident,0.24299784223208215
TBR,home,101,0.5191709992909196,0.5643564356435643,0.045185436352644714,0.045185436352644714,underconfident,0.24369397238643617
PIT,home,105,0.49815150351751425,0.5428571428571428,0.04470563933962857,0.04470563933962857,underconfident,0.25042615780089833
TEX,away,97,0.44614385910255394,0.4020618556701031,-0.044082003432450834,0.044082003432450834,overconfident,0.24202068580051916
WSN,away,103,0.4028759974299126,0.44660194174757284,0.04372594431766025,0.04372594431766025,underconfident,0.24921599548415704
CHW,away,102,0.37651535500498373,0.3333333333333333,-0.04318202167165042,0.04318202167165042,overconfident,0.22445102934925767
ARI,away,97,0.4828339471030481,0.44329896907216493,-0.03953497803088318,0.03953497803088318,overconfident,0.25268721942736844
ATH,home,19,0.5652421719149539,0.5263157894736842,-0.03892638244126967,0.03892638244126967,overconfident,0.26224522953489054
NYM,home,100,0.5861900508999824,0.55,-0.036190050899982396,0.036190050899982396,overconfident,0.2563805154632896
PHI,home,102,0.5914171246921315,0.6274509803921569,0.036033855700025375,0.036033855700025375,underconfident,0.2335833138829326
ATL,away,100,0.48699775874614715,0.52,0.03300224125385287,0.03300224125385287,underconfident,0.24391244342404847
HOU,away,93,0.49536718466589524,0.46236559139784944,-0.033001593268045804,0.033001593268045804,overconfident,0.25139829030552285
DET,away,101,0.5166380740923456,0.48514851485148514,-0.0314895592408605,0.0314895592408605,overconfident,0.24948795341168256
ATH,away,103,0.46396625713237266,0.49514563106796117,0.031179373935588506,0.031179373935588506,underconfident,0.2495147809569031
SFG,home,100,0.5295639224648476,0.5,-0.029563922464847625,0.029563922464847625,overconfident,0.25632633398291466
LAD,away,99,0.5436958510165263,0.5151515151515151,-0.02854433586501115,0.02854433586501115,overconfident,0.2510248537443692
MIN,home,104,0.5090257906569884,0.4807692307692308,-0.028256559887757604,0.028256559887757604,overconfident,0.25524361380086263
CIN,away,100,0.46321210151910786,0.49,0.026787898480892136,0.026787898480892136,underconfident,0.25122016758257215
STL,away,98,0.4534961950414035,0.47959183673469385,0.026095641693290372,0.026095641693290372,underconfident,0.2400004360303
BOS,home,99,0.5707824741349077,0.5454545454545454,-0.025327928680362266,0.025327928680362266,overconfident,0.248111097762922
NYY,away,100,0.5286160082221031,0.55,0.02138399177789696,0.02138399177789696,underconfident,0.24620080704210476
LAA,away,98,0.4187715673933224,0.3979591836734694,-0.020812383719853,0.020812383719853,overconfident,0.24774774450634252
CLE,home,99,0.5347810943319341,0.5555555555555556,0.020774461223621477,0.020774461223621477,underconfident,0.2406668252336308
SFG,away,97,0.4741305652967433,0.4536082474226804,-0.02052231787406289,0.02052231787406289,overconfident,0.23742431253071078
BAL,home,101,0.5252575638270615,0.504950495049505,-0.020307068777556503,0.020307068777556503,overconfident,0.24503505317331922
DET,home,100,0.5705082165002824,0.59,0.019491783499717585,0.019491783499717585,underconfident,0.24367500680945564
LAD,home,103,0.6122417989865089,0.6310679611650486,0.018826162178539718,0.018826162178539718,underconfident,0.23363724942591146
HOU,home,102,0.5571134734387492,0.5392156862745098,-0.017897787164239398,0.017897787164239398,overconfident,0.2535270054181127
SEA,away,94,0.49492182902833237,0.4787234042553192,-0.016198424773013198,0.016198424773013198,overconfident,0.252296511231388
