date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-08-28,MIA @ NYM,4.0,7.0,,0.0,-261.0,0.7755,0.6918,0.0837,<-180,,<-180 excluded by static_underdog_130_170,,0.0,132.12,NYM,MIA,home,True,Clay Holmes,Adam Mazur,R,R,,,mid
2025-08-29,STL @ CIN,5.0,7.0,,0.0,,,,,,,missing odds,,0.0,132.12,CIN,STL,,,,,,,,,
2025-08-29,LAA @ HOU,2.0,0.0,,0.0,-165.2,0.6841,0.5969,0.0873,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,132.12,HOU,LAA,home,True,Cristian Javier,Tyler Anderson,R,L,,,mid
2025-08-29,TBR @ WSN,1.0,4.0,,0.0,118.8,0.5164,0.4377,0.0787,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,132.12,WSN,TBR,home,False,Mitchell Parker,Adrian Houser,L,R,,,mid
2025-08-29,BAL @ SFG,15.0,8.0,,0.0,122.5,0.4657,0.4308,0.0349,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,132.12,SFG,BAL,away,False,Dean Kremer,Robbie Ray,R,L,,,mid
2025-08-29,SDP @ MIN,7.0,4.0,,0.0,-124.7,0.5676,0.5337,0.034,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,132.12,MIN,SDP,away,True,Nestor Cortes,Zebby Matthews,L,R,,,mid
2025-08-29,MIL @ TOR,2.0,7.0,,0.0,,,,,,,missing odds,,0.0,132.12,TOR,MIL,,,,,,,,,
2025-08-29,ARI @ LAD,0.0,3.0,,0.0,184.7,0.3705,0.3366,0.0339,+170+,,+170+ excluded by static_underdog_130_170,,0.0,132.12,LAD,ARI,away,False,Zac Gallen,Blake Snell,R,L,,,mid
2025-08-29,CHC @ COL,7.0,11.0,,0.0,186.3,0.4472,0.3338,0.1133,+170+,,+170+ excluded by static_underdog_130_170,,0.0,132.12,COL,CHC,home,False,German Marquez,Cade Horton,R,R,,,mid
2025-08-29,DET @ KCR,3.0,5.0,,0.0,,,,,,,missing odds,,0.0,132.12,KCR,DET,,,,,,,,,
2025-08-29,NYY @ CHW,2.0,10.0,,0.0,185.0,0.3617,0.3356,0.0262,+170+,,+170+ excluded by static_underdog_130_170,,0.0,132.12,CHW,NYY,home,False,Yoendrys Gomez,Carlos Rodon,R,L,,,mid
2025-08-29,PIT @ BOS,2.0,4.0,,0.0,,,,,,,missing odds,,0.0,132.12,BOS,PIT,,,,,,,,,
2025-08-29,MIA @ NYM,19.0,9.0,,0.0,-175.0,0.7011,0.6048,0.0963,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,132.12,NYM,MIA,home,True,Jonah Tong,Eury Perez,R,R,,,mid
2025-08-29,SEA @ CLE,5.0,4.0,CLE,3.86,130.7,0.4997,0.4139,0.0859,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,True,5.05,137.17,CLE,SEA,home,False,Logan Allen,George Kirby,L,R,,,mid
