team,games,avg_pred_prob,actual_win_rate,calibration_error,abs_calibration_error,direction,brier
COL,204,0.3963940071709016,0.29411764705882354,-0.10227636011207808,0.10227636011207808,overconfident,0.21578398278454608
NYM,198,0.5384932728728863,0.48484848484848486,-0.053644788024401424,0.053644788024401424,overconfident,0.24772813731088705
MIN,200,0.48138872927427295,0.43,-0.05138872927427296,0.05138872927427296,overconfident,0.24832302072822768
TOR,200,0.5062609916180372,0.555,0.04873900838196288,0.04873900838196288,underconfident,0.24424933641496097
MIL,204,0.5422645671110528,0.5833333333333334,0.04106876622228062,0.04106876622228062,underconfident,0.243028822259328
STL,202,0.4745957042026048,0.5148514851485149,0.04025578094591009,0.04025578094591009,underconfident,0.24742555451077233
NYY,203,0.5570823611590663,0.5960591133004927,0.038976752141426374,0.038976752141426374,underconfident,0.23867952019173647
CLE,202,0.49585085292853937,0.5346534653465347,0.03880261241799532,0.03880261241799532,underconfident,0.24727193357175534
MIA,202,0.44396298937868367,0.4801980198019802,0.03623503042329651,0.03623503042329651,underconfident,0.2556165567562168
CHC,201,0.5374289146406733,0.572139303482587,0.034710388841913686,0.034710388841913686,underconfident,0.2372229279701259
KCR,203,0.5155009152560398,0.4827586206896552,-0.03274229456638461,0.03274229456638461,overconfident,0.2414220085147011
CHW,200,0.4004643651843071,0.375,-0.025464365184307114,0.025464365184307114,overconfident,0.23629655648452058
SFG,197,0.5022693252805527,0.47715736040609136,-0.025111964874461323,0.025111964874461323,overconfident,0.24701924727802238
HOU,195,0.5276652434086189,0.5025641025641026,-0.025101140844516312,0.025101140844516312,overconfident,0.25251177205672365
TBR,200,0.4857774103581905,0.51,0.02422258964180951,0.02422258964180951,underconfident,0.24317253932627186
CIN,201,0.500977510881068,0.5223880597014925,0.02141054882042448,0.02141054882042448,underconfident,0.25110109753421067
SDP,199,0.5372396755607883,0.5577889447236181,0.02054926916282973,0.02054926916282973,underconfident,0.2443826223595323
ATH,122,0.4797387356640863,0.5,0.020261264335913687,0.020261264335913687,underconfident,0.25149739180101593
WSN,203,0.4330867395612406,0.41379310344827586,-0.01929363611296475,0.01929363611296475,overconfident,0.24816554055994589
ARI,200,0.5134482180774212,0.495,-0.018448218077421252,0.018448218077421252,overconfident,0.25117908544895007
SEA,198,0.5271448258197668,0.5454545454545454,0.018309719634778565,0.018309719634778565,underconfident,0.23974766992896632
TEX,197,0.4833343399508955,0.49746192893401014,0.01412758898311467,0.01412758898311467,underconfident,0.24231386466016733
ATL,201,0.512056167090117,0.5223880597014925,0.01033189261137546,0.01033189261137546,underconfident,0.24547903998435885
BAL,201,0.487230038464959,0.47761194029850745,-0.009618098166451539,0.009618098166451539,overconfident,0.24625154862327034
PHI,200,0.5591603927761316,0.55,-0.009160392776131565,0.009160392776131565,overconfident,0.23849008513777759
BOS,202,0.5230478533718845,0.5148514851485149,-0.008196368223369666,0.008196368223369666,overconfident,0.2499185617641657
PIT,204,0.4621013911039222,0.45588235294117646,-0.006219038162745716,0.006219038162745716,overconfident,0.24466730567937883
DET,201,0.543439139966941,0.5373134328358209,-0.0061257071311201505,0.0061257071311201505,overconfident,0.24659594017674377
LAD,202,0.5786474977536956,0.5742574257425742,-0.004390072011121404,0.004390072011121404,overconfident,0.2421588970869378
LAA,198,0.4481790293647786,0.4444444444444444,-0.003734584920334183,0.003734584920334183,overconfident,0.25081992102710343
